"Section/Rule","Context/Area","Question","Responsible Party/Subject","T-Level"
"11.3.7.","Medical Reassignment Responsibilities","Will ARPC/DPAMR coordinate cases with ARPC/SGP?","ARPC/DPAMR","T-0"
"11.3.8.1.","Medical Reassignment Responsibilities","Will the unit MPF or RIO Detachment notify member of profile results?","Unit MPF or RIO Detachment","T-0"
"11.3.9.4.","HIV","Will the RIO Det/CC inform the member of assignment?","RIO Det/CC","T-0"
"11.3.9.4.","HIV","Will ARPC/DPAA publish orders?","ARPC/DPAA","T-0"
"11.5.","Involuntary Reassignments to ARPC","Will the commander or HQ RIO/CC determine if member meets requirements?","Commander or HQ RIO/CC","T-0"
"11.5.1.7.","Notification","Will failure to respond constitute waiver of rights?","Failure to respond","T-0"
"11.5.1.7.","Notification","Will the case be processed based on available information?","Case","T-0"
"11.5.3.","Processing Case File","Will the unit commander/RIO Det/CC review statements before continuing action?","Unit commander/RIO Det/CC","T-0"
"11.5.3.","Processing Case File","Will the case file be processed through SJA and chain of command?","Case file","T-0"
"11.5.4.","Processing Time Goals","Will commanders monitor programs to ensure cases processed without undue delay?","Commanders","T-0"
"11.6.","Voluntary Reassignments","Will the wing commander/RIO Det/CC be approval authority?","Wing commander/RIO Det/CC","T-0"
"11.6.","Voluntary Reassignments","Will any commander disapprove and notify member with reasons?","Any commander","T-0"
"11.6.2.","Waiver of 6 Month Eff Date","Will the wing commander/HQ RIO/CC waive the 6-month requirement?","Wing commander/HQ RIO/CC","T-0"
"11.7.3.","Temporary Release Approval","Will the MPF/ARPC/DPTSC reenlist applicants?","MPF/ARPC/DPTSC","T-0"
"11.7.5.","Temporary Release","Will the MPF send documents to AFPC/DPSIR?","MPF","T-0"
"11.7.7.1.","End of Temporary Release","Will members immediately notify ARPC/DPTSC?","Members","T-0"
"11.7.7.2.","End of Temporary Release","Will members be subject to same assignment/training/rules?","Members","T-0"
"12.1.","MSO","Will the MSO start on date of initial entry?","MSO","T-0"
"12.2.1.","Individuals Reassigned","Will assignment be to Ready Reserve or Standby Reserve?","Assignment","T-0"
"12.3.1.1.","IRR Classification (Obligated)","Will members complete remaining MSO in IRR?","Members","T-0"
"12.3.1.2.","IRR Classification (Non-Obligated)","Will members without MSO be assigned to Non-obligated Non-participating Ready Personnel Section?","Members","T-0"
"12.3.1.3.","IRR Classification (Awaiting Disposition)","Will members requiring medical/admin review be assigned to Non-participating Awaiting Disposition?","Members","T-0"
"12.3.1.4.","IRR Classification (Reenlistment Eligibility)","Will members losing eligibility be reassigned?","Members","T-0"
"12.3.2.","PIRR Classification","Will members be assigned to PIRR sections?","Members","T-0"
"12.4.1.","Standby Classification (Active)","Will members temporarily unable to meet requirements be assigned to NARS?","Members","T-0"
"12.4.1.","Standby Classification (Active)","Will members be returned to Ready Reserve when condition removed?","Members","T-0"
"12.4.2.","Standby Classification (Inactive)","Will members unable to participate be assigned to ISLRS?","Members","T-0"
"12.4.2.","Standby Classification (Inactive)","Will members remain until MSO expires or maximum age/service reached?","Members","T-0"
"12.4.2.","Standby Classification (Inactive)","Will members be discharged if they can't complete 20 satisfactory years?","Members","T-0"
"13.2.3.","ANG Responsibilities","Will unit commanders ensure personnel assigned to authorized positions?","Unit commanders","T-0"
"13.2.3.","ANG Responsibilities","Will unit commanders ensure a viable force management plan is in place?","Unit commanders","T-0"
"13.2.4.","ANG Responsibilities","Will the FSS provide guidance and assistance?","FSS","T-0"
"13.2.4.","ANG Responsibilities","Will the FSS ensure actions comply with instruction and update PDS?","FSS","T-0"
"13.2.5.","ANG Responsibilities","Will the State HRO monitor AGR and technician assignments?","State HRO","T-0"
"13.2.6.","ANG Responsibilities","Will the MPMO coordinate Statutory Tour returnee assignments?","MPMO","T-0"
"13.2.7.","ANG Responsibilities","Will NGB/HR coordinate Statutory Tour assignments?","NGB/HR","T-0"
"13.2.8.","ANG Responsibilities","Will the FSS provide assignment guidance and enter requests?","FSS","T-0"
"14.1.","ANG Instructions","Will ANG members be awarded AFSC/SDI/RI and assigned against valid UMD?","ANG members","T-0"
"14.3.1.3.","Trainee Assignment","Will PS personnel be assigned to student flight only under extreme circumstances?","PS personnel","T-0"
"14.3.1.3.","Trainee Assignment","Will members unable/unwilling to attend tech training be separated?","Members","T-0"
"14.3.1.4.","Trainee Assignment","Will members with trainee AFSC perform AGR duty?","Members","T-0"
"14.3.1.8.","Trainee Assignment","Will members be assigned to unit/UMD position upon training completion?","Members","T-0"
"14.3.3.","AGR Assignment","Will AGRs be assigned as sole incumbent?","AGRs","T-0"
"14.3.4.","First Sergeant Assignment","Will military technicians serve no less than 4 and no more than 6 years?","Military technicians","T-0"
"14.3.4.2.","First Sergeant Assignment","Will waivers to vacate prior to 4 years be processed through ANG FS Functional Mgr?","Waivers","T-0"
"14.3.4.3.","First Sergeant Assignment","Will technicians and AGRs be reassigned upon completion?","Technicians and AGRs","T-0"
"14.3.4.4.","First Sergeant Assignment","Will requests to remain beyond 6 years require approval?","Requests","T-0"
"14.3.4.4.","First Sergeant Assignment","Will approved waivers not exceed 24 months?","Approved waivers","T-0"
"14.3.5.2.","Cmd Chief Assignment","Will assignment requests be submitted to SELMO?","Assignment requests","T-0"
"14.3.5.2.","Cmd Chief Assignment","Will SELMO review eligibility and complete processes?","SELMO","T-0"
"14.3.5.3.","Cmd Chief Assignment","Will member's AFSCs be changed to 9E000?","Member's AFSCs","T-0"
"14.3.5.3.","Cmd Chief Assignment","Will Cmd Chiefs perform duty outside 9E000 RI?","Cmd Chiefs","T-0"
"14.3.5.5.","Cmd Chief Assignment","Will members no longer occupy previous position?","Members","T-0"
"14.3.5.5.","Cmd Chief Assignment","Will future reassignment be subject to availability?","Future reassignment","T-0"
"14.3.6.4.1.","Group Supt Assignment","Will TAG approve local exception for technician AFSC compatibility?","TAG","T-0"
"14.3.7.6.","Physical Limitations","Will ALC be entered into PDS?","ALC","T-0"
"14.3.8.","Retraining Status","Will personnel be assigned to projected UMD vacancy/growth position?","Personnel","T-0"
"14.3.8.1.","Retraining Status","Will demotion be initiated if position not commensurate with grade?","Demotion","T-0"
"14.3.10.","State HQ Assignment","Will all other assignment actions be IAW this instruction?","All other assignment actions","T-0"
"14.3.11.","GO Assignment","Will reassignment/assignment not be finalized until NGB-SL coordination and TAG approval?","Reassignment/assignment","T-0"
"14.3.11.1.","GO Assignment","Will GO personnel reassignments take place if position grade below member's grade?","GO personnel reassignments","T-0"
"14.3.11.2.","GO Assignment","Will officer reverting to line position be appointed at highest previous line grade?","Officer","T-0"
"14.3.11.3.","GO Assignment","Will the ANG Special Assistant Program include positions graded colonel and above?","ANG Special Assistant Program","T-0"
"14.3.11.3.","GO Assignment","Will the program include officers selected to represent ANG/Reserve Components?","Program","T-0"
"14.3.12.1.","Additional Physicians","Will the commander assign individual as excess upon NGB/A1 approval?","Commander","T-0"
"14.3.12.1.1.","Additional Physicians","Will the UMD excess code be used?","UMD excess code","T-0"
"14.3.12.1.2.","Additional Physicians","Will applicants be assigned excess to HSA position?","Applicants","T-0"
"14.3.12.1.2.","Additional Physicians","Will this excess assignment be used even if HSA position vacant?","Excess assignment","T-0"
"14.3.12.2.","Additional Physicians","Will excess flight surgeons be limited by proficiency flight support capability?","Excess flight surgeons","T-0"
"14.3.12.2.","Additional Physicians","Will excess flight surgeons unable to maintain currency be reassigned?","Excess flight surgeons","T-0"
"14.3.12.2.","Additional Physicians","Will exceptions be considered?","Exceptions","T-0"
"14.3.12.3.","Additional Physicians","Will the UMD excess code be used?","UMD excess code","T-0"
"14.3.12.3.","Additional Physicians","Will excess assignment be authorized for 48 months or until reappointed?","Excess assignment","T-0"
"14.3.12.4.","Additional Physicians","Will the applicant be assigned excess to HSA position upon NGB/A1 approval?","Applicant","T-0"
"14.3.12.4.","Additional Physicians","Will this excess assignment be used even if HSA position vacant?","Excess assignment","T-0"
"14.3.14.2.","IG Wing Inspections","Will the SDI 87G0 be authorized as full time?","SDI 87G0","T-0"
"14.3.15.3.","Lt Col Augmentation","Will officers promoted/retained be sole occupant and identified to NGB/A1PO?","Officers","T-0"
"14.3.15.4.","Lt Col Augmentation","Will expiration date exceed 6 years from promotion date or MSD?","Expiration date","T-0"
"14.3.15.4.","Lt Col Augmentation","Will officers be promoted on normal date or date overgrade condition accepted?","Officers","T-0"
"14.3.15.5.","Lt Col Augmentation","Will endorsement state TAG approval, grade, name, SSN, DAFSC, overgrade period?","Endorsement","T-0"
"14.3.15.6.","Lt Col Augmentation","Will NGB/A1PO update overgrade code?","NGB/A1PO","T-0"
"14.3.15.6.","Lt Col Augmentation","Will expiration date exceed 6 years or MSD?","Expiration date","T-0"
"14.3.15.7.","Lt Col Augmentation","Will promotions be counted against authorized vs assigned for vacancy determination?","Promotions","T-0"
"14.3.15.9.","Lt Col Augmentation","Will Lt Col Augmentation Program exceed overall Lt Col grade authorizations?","Lt Col Augmentation Program","T-0"
"14.3.15.9.","Lt Col Augmentation","Will it exceed statutory limits on overall officer grade strength?","Lt Col Augmentation Program","T-0"
"14.3.15.10.","Lt Col Augmentation","Will NGB/A1PO monitor state utilization?","NGB/A1PO","T-0"
"14.3.17.1.3.","Non-Wpn Sys Qual Wing Cmdr","Will NGB/A3 approve the assignment?","NGB/A3","T-0"
"14.3.18.1.","UMD Change/Growth","Will notification be provided by NGB/A1M?","Notification","T-0"
"14.3.18.1.","UMD Change/Growth","Will it be followed by UMD modification?","Notification","T-0"
"14.3.18.2.","UMD Change/Growth","Will personnel be recruited/reassigned to positions being deleted within 12 months?","Personnel","T-0"
"14.3.18.2.","UMD Change/Growth","Will deletion date be shown in authorization through date column?","Deletion date","T-0"
"14.3.18.3.","UMD Change/Growth","Will individuals be recruited/selected if current UMD position with same AFSC available?","Individuals","T-0"
"14.3.18.3.1.","UMD Change/Growth","Will NPS appointed against growth positions be assigned to Trainee PAS?","NPS","T-0"
"14.3.18.3.1.","UMD Change/Growth","Will members be assigned to growth position upon training completion?","Members","T-0"
"14.3.18.3.1.","UMD Change/Growth","Will member be assigned to current UMD position if new position effective date not occurred?","Member","T-0"
"14.3.18.3.1.","UMD Change/Growth","Will NPS be placed in excess status if another member occupies position?","NPS","T-0"
"14.5.","Retention Statutory Tour Release","Will individuals be assigned excess/overgrade for 24 months with TAG approval?","Individuals","T-0"
"15.1.","ANG Reassignment","Will FSS enter request into PDS within 3 duty days?","FSS","T-0"
"15.1.","ANG Reassignment","Will members sign acknowledgement statement?","Members","T-0"
"16.1.1.","ANG Overgrade/Excess","Will assignment be against valid UMD position unless authorized excess/overgrade?","Assignment","T-0"
"16.1.2.","ANG Overgrade/Excess","Will Commanders ensure members are assigned commensurate with grade/AFSC/skill level?","Commanders","T-0"
"16.1.3.","ANG Overgrade/Excess","Will ANG members be assigned excess/overgrade only for reasons listed?","ANG members","T-0"
"16.1.4.","ANG Overgrade/Excess","Will members be assigned overgrade only if no vacancies exist?","Members","T-0"
"16.1.5.","ANG Overgrade/Excess","Will HRO ensure compatibility for technicians assigned overgrade/excess?","HRO","T-0"
"16.1.6.","ANG Overgrade/Excess","Will overgrade/excess codes be updated in PDS?","Overgrade/excess codes","T-0"
"16.1.7.","ANG Overgrade/Excess","Will approval authority be based on grade/length of time?","Approval authority","T-0"
"16.1.7.","ANG Overgrade/Excess","Will AGR members assigned excess/overgrade have requests processed through NGB/A1?","AGR members","T-0"
"16.2.1.","Excess due to Realignment","Will individuals be reassigned/retrained based on priority placement list?","Individuals","T-0"
"16.2.1.1.","Excess due to Realignment","Will State HRO manage technicians impacted?","State HRO","T-0"
"16.2.1.2.","Excess due to Realignment","Will AGR members be managed by State AGR Manager?","AGR members","T-0"
"16.2.1.3.","Excess due to Realignment","Will DSGs be given priority placement?","DSGs","T-0"
"16.2.1.3.","Excess due to Realignment","Will members be counseled on retention/retraining options?","Members","T-0"
"16.2.1.3.","Excess due to Realignment","Will members acknowledge options and impact?","Members","T-0"
"16.2.2.","Excess due to Realignment","Will members be assigned excess for maximum 24 months?","Members","T-0"
"16.2.2.1.","Excess due to Realignment","Will requests for extension be submitted to NGB/A1PP?","Requests","T-0"
"16.2.3.","Excess due to Realignment","Will members be assigned to Trainee PAS Code if retraining?","Members","T-0"
"16.2.4.","Excess due to Realignment","Will commanders make every effort to place excess members?","Commanders","T-0"
"16.2.5.","Excess due to Realignment","Will members be counseled on separation options if placement not possible?","Members","T-0"
"16.3.1.","Retention Overgrade Status","Will members promoted to grade above authorized UMD position be assigned overgrade?","Members","T-0"
"16.3.2.","Retention Overgrade Status","Will commanders initiate personnel action to eliminate overgrade?","Commanders","T-0"
"16.3.3.","Retention Overgrade Status","Will promotion under STEP not require position vacancy?","Promotion","T-0"
"16.3.3.","Retention Overgrade Status","Will member be assigned overgrade for maximum 24 months?","Member","T-0"
"16.3.4.","Retention Overgrade Status","Will extension requests be submitted to NGB/A1PP?","Extension requests","T-0"
"16.3.5.","Retention Overgrade Status","Will overgrade expiration date be entered into PDS?","Overgrade expiration date","T-0"
"16.3.6.","Retention Overgrade Status","Will members be assigned to Trainee PAS if retraining?","Members","T-0"
"16.3.7.","Retention Overgrade Status","Will members be counseled on separation if placement not possible?","Members","T-0"
"17.4.1.1.1.","AD Sanctuary Mgmt","Will members nearing sanctuary be identified monthly?","Members","T-0"
"17.4.1.1.1.","AD Sanctuary Mgmt","Will HQ RIO Det/CCs, FSS, HQ RIO provide report/roster?","HQ RIO Det/CCs, FSS, HQ RIO","T-0"
"17.4.1.1.1.","AD Sanctuary Mgmt","Will HQ RIO Det/CCs, FSS, HQ RIO monitor members and process waivers?","HQ RIO Det/CCs, FSS, HQ RIO","T-0"
"17.4.1.1.2.","AD Sanctuary Mgmt","Will AROWS identify members nearing sanctuary?","AROWS","T-0"
"17.4.1.1.2.","AD Sanctuary Mgmt","Will AROWS alert authorities waiver required?","AROWS","T-0"
"17.4.1.2.2.","AD Sanctuary Mgmt (ANG)","Will ANG ROWS flag order bringing member beyond 16 years TAFMS?","ANG ROWS","T-0"
"17.4.1.2.2.","AD Sanctuary Mgmt (ANG)","Will member complete waiver prior to order approval?","Member","T-0"
"17.4.1.3.","AD Sanctuary Mgmt (ANG)","Will same procedures be followed for Title 32 Special Training?","Same procedures","T-0"
"17.4.1.4.","AD Sanctuary Mgmt","Will statement of understanding acknowledge waiver requirement?","Statement of understanding","T-0"
"17.5.1.1.","ADOS/RPA/MPA/ADT/ST","Will signed/approved waiver be completed prior to tour start date?","Signed/approved waiver","T-0"
"17.5.1.1.","ADOS/RPA/MPA/ADT/ST","Will members be unable to commence tour without approved waiver?","Members","T-0"
"17.5.2.","ADOS/RPA/MPA/ADT/ST","Will member be unable to begin tour without approved waiver?","Member","T-0"
"17.5.3.","ADOS/RPA/MPA/ADT/ST","Will same sanctuary procedures be followed?","Same sanctuary procedures","T-0"
"17.6.1.","Sanctuary Processes (AFR)","Will ARPC/DPA maintain responsibility?","ARPC/DPA","T-0"
"17.6.1.","Sanctuary Processes (AFR)","Will required documents be submitted to ARPC/DPAA?","Required documents","T-0"
"17.6.1.","Sanctuary Processes (AFR)","Will member be assigned based on AFR needs?","Member","T-0"
"17.6.1.","Sanctuary Processes (AFR)","Will assignment terminate upon retirement eligibility?","Assignment","T-0"
"17.6.2.","Sanctuary Processes (ANG)","Will State provide employment using current AGR resources?","State","T-0"
"17.6.2.","Sanctuary Processes (ANG)","Will NGB/A1 provide additional resources?","NGB/A1","T-0"
"17.6.2.","Sanctuary Processes (ANG)","Will member be assigned based on State needs?","Member","T-0"
"17.6.2.","Sanctuary Processes (ANG)","Will assignment terminate upon retirement eligibility?","Assignment","T-0"
"17.6.3.","Sanctuary Processes (RegAF Exceptions)","Will member be gained to RegAF if approved by SAF/MR?","Member","T-0"
"17.7.3.","Continuation Medical Eval","Will member continue on AD under 10 USC 12301(h) if fit and no waiver?","Member","T-0"
"17.8.1.1.","Processing Waivers","Will waiver accompany AD tour request or be on file?","Waiver","T-0"
"17.8.1.1.","Processing Waivers","Will tour not be approved or orders published otherwise?","Tour","T-0"
"17.8.1.2.","Processing Waivers","Will ARC members ensure requests received NLT 45 days before tour start?","ARC members","T-0"
"17.8.2.","Processing Waivers","Will copy of signed SOU be kept on file?","Copy of signed SOU","T-0"
"17.10.1.","Demobilization/Sanctuary","Will NAF/Wing/HQ RIO/ANG wings establish accountability procedures?","NAF/Wing/HQ RIO/ANG wings","T-0"
"A10.2.2.","Procedures","Will requests be submitted through unit CC to MPF?","Requests","T-0"
"A10.2.3.","Procedures","Will MPF verify member eligibility?","MPF","T-0"
"A10.2.4.","Procedures","Will MPF update PDS with AAC 81?","MPF","T-0"
"A10.2.5.","Procedures","Will MPF forward request to AFPC/DP2SSM?","MPF","T-0"
"A10.2.6.","Procedures","Will AFPC/DP2SSM process request?","AFPC/DP2SSM","T-0"
"A10.2.7.","Procedures","Will AFPC/DP2SSM notify MPF/member of approval/disapproval?","AFPC/DP2SSM","T-0"
"A10.2.8.","Procedures","Will MPF update PDS, notify CC/member?","MPF","T-0"
"A10.3.1.","Considerations","Will AFPC/DP2SSM consider member's request/AF needs?","AFPC/DP2SSM","T-0"
"17.4.1.2.2.","AD Sanctuary Mgmt (ANG)","Will the ANG Reserve Order Writing System flag any order that will bring a Title 32 unit member beyond 16 years of TAFMS?","ANG Reserve Order Writing System","T-0"
"17.4.1.2.2.","AD Sanctuary Mgmt (ANG)","Will the member complete and sign an active duty sanctuary waiver prior to the order being approved?","Member","T-0"
"17.4.1.3.","AD Sanctuary Mgmt (ANG)","Will the same procedures be followed for Title 32 Special Training orders performing Title 32 operational support?","Same procedures","T-0"
"17.4.1.4.","AD Sanctuary Mgmt","Will the statement of understanding acknowledge that the SecAF requires the member must waive their right to sanctuary protection?","Statement of understanding","T-0"
"17.6.1.","Sanctuary Processes (AFR)","Will the member be assigned to a position based on the needs of the AFR?","Member","T-0"
"17.6.1.","Sanctuary Processes (AFR)","Will the assignment terminate upon the member reaching eligibility for an immediate active duty retirement?","Assignment","T-0"
"17.6.2.","Sanctuary Processes (ANG)","Will the State be required to provide full-time military employment utilizing current authorized Active Guard and Reserve resources?","State","T-0"
"17.6.2.","Sanctuary Processes (ANG)","Will NGB/A1 not provide the State additional Active Guard Reserve resources for these situations?","NGB/A1","T-0"
"17.6.2.","Sanctuary Processes (ANG)","Will the member be assigned to a position based on the needs of the State?","Member","T-0"
"17.6.2.","Sanctuary Processes (ANG)","Will the assignment terminate upon the member reaching eligibility for an immediate active duty retirement?","Assignment","T-0"
"17.6.3.","Sanctuary Processes (RegAF Exceptions)","Will the member be gained to the RegAF if the sanctuary claim is approved by SAF/MR?","Member","T-0"
"17.7.3.","Continuation Medical Eval","Will the member continue on active duty under the terms of the 10 USC § 12301(h) active duty order if found medically fit and no waiver is in place?","Member","T-0"
"18.1.1.","Program Roles and Responsibilities","Will the EA Program Manager ensure the Enlisted Aide Handbook is updated annually?","EA Program Manager","T-0"
"18.1.1.","Program Roles and Responsibilities","Will the EA Program Manager serve as the HAF focal point for EA issues?","EA Program Manager","T-0"
"18.1.1.","Program Roles and Responsibilities","Will the EA Program Manager manage the nomination process for the annual recognition award?","EA Program Manager","T-0"
"18.1.1.","Program Roles and Responsibilities","Will the EA Program Manager serve as the approval authority for EA clothing allowance?","EA Program Manager","T-0"
"18.1.1.","Program Roles and Responsibilities","Will the EA Program Manager coordinate final GO/FO authorization list with AF/A1LE annually?","EA Program Manager","T-0"
"18.1.1.","Program Roles and Responsibilities","Will the EA Program Manager monitor GO/FO authorizations and changes?","EA Program Manager","T-0"
"18.1.2.","Program Roles and Responsibilities","Will the Chief, Enlisted Force Development (AF/A1L) be responsible for overall policy guidance and general administration?","Chief, Enlisted Force Development (AF/A1L)","T-0"
"18.1.3.","Program Roles and Responsibilities","Will MAJCOM/FLDCOM/DRU/FOA Command Chiefs ensure GO/FOs and EAs comply with the instruction?","MAJCOM/FLDCOM/DRU/FOA Command Chiefs","T-0"
"18.1.4.","Program Roles and Responsibilities","Will General/Flag Officers (GO/FOs) ensure EAs perform duties per DoDI 1315.09?","General/Flag Officers (GO/FOs)","T-0"
"18.1.4.","Program Roles and Responsibilities","Will General/Flag Officers (GO/FOs) ensure EAs maintain military standards?","General/Flag Officers (GO/FOs)","T-0"
"18.1.4.","Program Roles and Responsibilities","Will General/Flag Officers (GO/FOs) ensure EAs meet career development requirements?","General/Flag Officers (GO/FOs)","T-0"
"18.1.4.","Program Roles and Responsibilities","Will General/Flag Officers (GO/FOs) ensure EAs do not perform duties for personal benefit?","General/Flag Officers (GO/FOs)","T-0"
"18.1.4.","Program Roles and Responsibilities","Will General/Flag Officers (GO/FOs) ensure EAs attend mandatory training?","General/Flag Officers (GO/FOs)","T-0"
"18.1.5.","Program Roles and Responsibilities","Will Enlisted Aides (EAs) adhere to standards and perform authorized duties?","Enlisted Aides (EAs)","T-0"
"18.1.5.","Program Roles and Responsibilities","Will Enlisted Aides (EAs) complete mandatory training?","Enlisted Aides (EAs)","T-0"
"18.1.5.","Program Roles and Responsibilities","Will Enlisted Aides (EAs) meet career development requirements?","Enlisted Aides (EAs)","T-0"
"18.1.5.","Program Roles and Responsibilities","Will Enlisted Aides (EAs) notify the EA Program Manager of nomination for the annual award?","Enlisted Aides (EAs)","T-0"
"18.2.1.","Enlisted Aide Special Duty Identifier (SDI) Management","Will AFPC/DPMOSS manage enlisted aide assignments?","AFPC/DPMOSS","T-0"
"18.2.1.","Enlisted Aide Special Duty Identifier (SDI) Management","Will EAs normally serve a 3-year tour?","EAs","T-0"
"18.2.1.","Enlisted Aide Special Duty Identifier (SDI) Management","Will EAs be assigned PCS from the CONUS to OCONUS or vice versa?","EAs","T-0"
"18.2.1.","Enlisted Aide Special Duty Identifier (SDI) Management","Will EAs not receive assignment consideration based on location preference?","EAs","T-0"
"18.2.1.","Enlisted Aide Special Duty Identifier (SDI) Management","Will EAs volunteer for the duty?","EAs","T-0"
"18.2.1.","Enlisted Aide Special Duty Identifier (SDI) Management","Will GO/FOs select EAs based on personal interviews?","GO/FOs","T-0"
"18.2.1.","Enlisted Aide Special Duty Identifier (SDI) Management","Will the EA Program Manager provide a list of eligible candidates?","EA Program Manager","T-0"
"18.2.1.","Enlisted Aide Special Duty Identifier (SDI) Management","Will candidates meet eligibility criteria in the AFECD?","Candidates","T-0"
"18.2.1.","Enlisted Aide Special Duty Identifier (SDI) Management","Will EAs be authorized based on GO/FO billets?","EAs","T-0"
"18.2.1.","Enlisted Aide Special Duty Identifier (SDI) Management","Will GO/FOs requesting an EA submit justification through command channels?","GO/FOs","T-0"
"18.2.1.","Enlisted Aide Special Duty Identifier (SDI) Management","Will requests be reviewed by AF/A1LE and SAF/MR?","Requests","T-0"
"18.2.1.","Enlisted Aide Special Duty Identifier (SDI) Management","Will AFPC/DPMOSS maintain a list of authorized positions?","AFPC/DPMOSS","T-0"
"18.2.1.","Enlisted Aide Special Duty Identifier (SDI) Management","Will GO/FOs requiring an EA contact the EA Program Manager?","GO/FOs","T-0"
"18.2.1.","Enlisted Aide Special Duty Identifier (SDI) Management","Will EAs be assigned to vacant positions based on GO/FO requirements?","EAs","T-0"
"18.3.","Enlisted Aide Duties and Responsibilities","Will duties comply with 10 USC § 7411?","Duties","T-0"
"18.3.","Enlisted Aide Duties and Responsibilities","Will EAs provide support that aids the GO/FO in performing official/military duties?","EAs","T-0"
"18.3.","Enlisted Aide Duties and Responsibilities","Will GO/FOs ensure EAs perform duties primarily assisting them with official responsibilities?","GO/FOs","T-0"
"18.3.1.","Uniform Maintenance","Will the EA maintain custody/inventory of GO/FO uniforms?","EA","T-0"
"18.3.2.","Quarters Maintenance","Will the EA ensure assigned quarters are properly maintained?","EA","T-0"
"18.3.2.","Quarters Maintenance","Will the EA care for assigned quarters/grounds?","EA","T-0"
"18.3.2.","Quarters Maintenance","Will the EA perform minor repairs?","EA","T-0"
"18.3.2.","Quarters Maintenance","Will the EA accomplish tasks traditionally performed by household members?","EA","T-0"
"18.3.3.","Official Social Events","Will the EA assist with planning/preparing/serving food and beverages?","EA","T-0"
"18.3.3.","Official Social Events","Will the EA assist with cleanup after official social events?","EA","T-0"
"18.3.3.","Official Social Events","Will the EA maintain records related to official social functions?","EA","T-0"
"18.3.4.","Other Duties","Will the EA perform tasks assisting the GO/FO with discharging official responsibilities?","EA","T-0"
"18.3.4.","Other Duties","Will the EA perform driver duties as required?","EA","T-0"
"18.3.4.","Other Duties","Will the EA care for GO/FO pets?","EA","T-0"
"18.3.4.","Other Duties","Will the EA be responsible for security of quarters?","EA","T-0"
"18.3.4.","Other Duties","Will the EA report suspicious activities?","EA","T-0"
"18.3.4.","Other Duties","Will the EA perform administrative tasks?","EA","T-0"
"18.3.4.","Other Duties","Will the EA maintain GO/FO appointment schedule?","EA","T-0"
"18.4.","Clothing Entitlements and Uniform Guidance","Will GO/FOs ensure EAs have proper uniforms/clothing?","GO/FOs","T-0"
"18.4.","Clothing Entitlements and Uniform Guidance","Will the EA Program Manager approve clothing allowance requests?","EA Program Manager","T-0"
"18.4.1.","Clothing Allowance","Will EAs receive an initial civilian clothing allowance?","EAs","T-0"
"18.4.1.","Clothing Allowance","Will allowances be IAW DoDI 1338.18?","Allowances","T-0"
"18.4.1.","Clothing Allowance","Will EAs submit AF Form 1206 for approval?","EAs","T-0"
"18.4.2.","Civilian Clothing","Will GO/FO determine when civilian clothes are appropriate?","GO/FO","T-0"
"18.4.2.","Civilian Clothing","Will clothing meet standards of neatness/cleanliness/military image?","Clothing","T-0"
"18.4.2.","Civilian Clothing","Will clothing be suitable for climate/occasion?","Clothing","T-0"
"18.4.3.","Food Handler Uniform","Will EAs serving food wear a standard food handler uniform?","EAs","T-0"
"18.4.3.","Food Handler Uniform","Will the uniform consist of specified items?","Uniform","T-0"
"18.4.4.","Military Uniform","Will EAs wear appropriate military uniform during official duties?","EAs","T-0"
"18.4.4.","Military Uniform","Will EAs performing food prep/service wear the food handler uniform over military uniform?","EAs","T-0"
"18.4.4.","Military Uniform","Will EAs wear appropriate duty uniform during normal hours?","EAs","T-0"
"18.5.","Enlisted Aide Recognition","Will the EA Program Manager manage the annual recognition program?","EA Program Manager","T-0"
"18.5.","Enlisted Aide Recognition","Will GO/FOs nominate deserving EAs?","GO/FOs","T-0"
"18.5.","Enlisted Aide Recognition","Will nominations be submitted IAW program guidelines?","Nominations","T-0"
"18.5.","Enlisted Aide Recognition","Will selectees be recognized at an appropriate ceremony?","Selectees","T-0"
"A1.1.","References","Will the cited publications be used for guidance?","Cited publications","T-0"
"A2.2.2.1.","Eligibility Criteria and Restrictions (FTA BOP)","Will a member apply for CONUS to CONUS BOP consideration after having 8 months TOS?","Member","T-0"
"A2.2.2.1.","Eligibility Criteria and Restrictions (FTA BOP)","Will a member have at least 12 months TOS as of the projected departure date?","Member","T-0"
"A2.2.2.6.","Eligibility Criteria and Restrictions (FTA BOP)","Will requests submitted before reenlistment be processed even if member reenlists before determination?","Requests","T-0"
"A2.2.2.7.","Eligibility Criteria and Restrictions (FTA BOP)","Will consecutive BOPs in any combination not be authorized?","Consecutive BOPs","T-0"
"A2.2.2.7.","Eligibility Criteria and Restrictions (FTA BOP)","Will there be an intervening PCS?","Intervening PCS","T-0"
"A2.2.3.1.","CONUS to CONUS Base of Preference (FTA BOP)","Will AFPC/DP3AM consider members for CONUS assignments listed as preferences?","AFPC/DP3AM","T-0"
"A2.2.3.1.","CONUS to CONUS Base of Preference (FTA BOP)","Will members receive only one CONUS BOP consideration?","Members","T-0"
"A2.2.3.1.","CONUS to CONUS Base of Preference (FTA BOP)","Will members apply between 8th and 15th month of enlistment?","Members","T-0"
"A2.2.3.1.","CONUS to CONUS Base of Preference (FTA BOP)","Will members apply via vMPF?","Members","T-0"
