Paragraph Number,Matches,Section,Text
681,2,,"9.7.5. The board is provided a list of all the Airmen to be considered. They will also receive,  at a minimum, the following for each Airman: the ACB Worksheet, relevant personnel  information as determined by the state to conduct “whole person” concept review, and any  letters submitted by the Airman to the board in accordance with paragraph 9.6.3 Documents  prepared or submitted specifically for board use will be disposed of in accordance with AFI  33-322, Records Management and Information Governance Program."
682,1,,9.7.6. The ACB will not be used to terminate the AGR orders of those Airmen who should
684,4,,"9.8. ACB Post-Board Process. The recorder will publish a report of the ACB actions and  recommendations using Attachment 11, AGR Continuation Board (ACB) Report Format, as a  guide. The report will be submitted to TAG or the CG no later than 15 days from the board  completion date. The recommendations of the ACB are not binding but will be given serious  consideration. Other than the ACB Report, and possible ACB Minority Report (Attachment 12),  no record of the ACB proceedings will be prepared."
685,2,,"9.8.1. The report captures the board’s recommended actions concerning members’ entry into  the career program, continuation beyond 20 years of TAFMS, or non-continuation on the AGR  tour. Memorandums of notification will be prepared and forwarded to each Airman and  leadership indicating the ACB decision. Normally, notifications will be provided to everyone  within 60 days following the board."
687,2,,"submit a minority report using Attachment 12, AGR Continuation Board (ACB) Minority  Report Format, as a guide. The member will sign the minority report as well as the board  proceedings and will annotate on the board proceedings that a minority report is being  submitted as an attachment to the ACB Report."
688,1,,9.8.3. TAG or the CG will review the recommendations of the ACB and approve or disapprove  any or all specific recommendations. TAG or the CG is the final approval authority on all  actions and may disapprove a board in its entirety if substantial material errors and/or  procedural deficiencies are found.
689,1,,"9.8.3.1. Post-review ACB memorandums of notification will be prepared using  Attachment 13, Post-review AGR Continuation Board (ACB) Notification Memorandum  (Commander), for each commander to communicate the ACB decisions to their affected  Airmen."
690,2,,"9.8.3.2. Each Airman will be required to sign a statement to acknowledge notification of  ACB results (see Attachment 14, AGR Continuation Board (ACB) Member  Acknowledgement of Decision Notification). Notifications will typically be provided to"
700,1,,separate from the AGR program forfeit their career status. Officer and enlisted Airmen who  return to the AGR program will serve a new probationary period and be reconsidered for entry  into the career program in accordance with this instruction.
702,1,,9.10.1. Approved extensions will normally be one to two years in length. Airmen would then  be required to meet another ACB at the end of the approved extension period.
705,1,,or continuation beyond 20 years of TAFMS will be provided at least 180 days notification prior to  the expiration of their AGR order.
707,1,,achieving 20 years active service will be released from active duty on the expiration of their  AGR orders.
709,1,,"assignment if they are reenlistment eligible (enlisted) and are not restricted by MSD, age, or  another mandatory separation reason. If selected for a new AGR assignment, the Airman’s  date of separation will be adjusted so he/she can accept the assignment."
714,2,,9.12.2. Reconsideration requests received without the appropriate chain of command  coordination will be returned to the Airman without action. Reconsiderations must be received  by the HRO no later than 30 days from the date on the ACB decision memorandum. The  Airman’s chain of command will not hold a reconsideration request to circumvent the 30-day  submission requirement.
720,1,,for staffing. The HRO will staff the request to TAG or the CG for decision.
721,2,,"9.13.2. A notification memorandum will be prepared and forwarded to the Airman and  leadership indicating the out-of-cycle ACB decision. If career status is denied, the normal  reconsideration and notification process will apply."
733,1,,grade status will be given simultaneous PPP consideration. Neither category has priority over  the other.
736,1,,10.2.1. AGR personnel who become overgrade to their UMD assignment will be entered into
738,1,,10.2.1.1. Airmen will be entered into the PPP on the same date as the action causing them
740,1,,10.2.1.2. The HRO will notify AGR members in writing when they have been placed in
741,1,,the PPP and when they are 180 calendar days away from the expiration of their PPP  placement. The FSS will also be given informational copies.
742,1,,"10.2.2. An Airman in the PPP will be offered, in writing, the first full-time AGR position"
744,1,,"10.2.2.1. The written offer will identify the position, unit of assignment, and unit location."
746,1,,"10.2.3. Overgrade AGR Airmen must accept or decline a position offered under the PPP  within 10 workdays of the date of receipt of the written offer. If the Airman accepts the  position, the HRO will direct the FSS to reassign the Airman within 30 days of acceptance of  the position."
747,1,,10.2.4. An enlisted AGR in overgrade who declines a position offered under the PPP must be  reduced in grade to the maximum grade of the UMD position no later than 30 workdays after  the declination in accordance with AFI 36-2502. Officers will be separated from AGR status  if they decline a position offered under the PPP. Note: officers in sanctuary must be retained  until they meet eligibility for a regular retirement in accordance with 10 USC § 12686. (T-0).
767,1,,"10.5.1. When NGB/A1M notifies the state of a reduction in AGR RAs, the HRO will do the"
770,1,,10.5.1.1. Notify commanders they must identify which functional areas are to be reduced  based on mission requirements. The HRO will place all AGR personnel within those  functional areas on an AGR RIF register.
772,1,,"10.5.2. Individuals who are eligible for an immediate, regular retirement will be separated  from the AGR program before conducting a RIF board unless specifically authorized for  retention by TAG or the CG (this authority may not be delegated)."
773,1,,10.5.2.1. Retention will only be authorized for mission essential reasons when the  individual possesses unique military qualifications that are not readily available.
774,1,,10.5.2.2. Retention will not be authorized for the sole benefit of the Airman. 10.5.3. Provide written notification to affected personnel of the RIF board to be held and the
775,1,,procedures that will be followed.
781,1,,10.5.4.2. Airmen will be counseled on transition assistance benefits.
782,1,,50 ANGI36-101 21 APRIL 2022 10.5.5. New hires will only be authorized after every effort has been made to reassign AGR
789,3,,10.6.1. Boards will be comprised of at least three members who are equal or senior in grade  to those members being considered. The board president will be the senior member on the  board. All board members will be present for all board sessions. The board composition should  be reflective of the Airmen considered for possible RIF actions - to include female and/or  minority representation if appropriate.
790,1,,10.6.2. The board will consider the following factors in establishing order precedence on the  register:
791,1,,10.6.2.1. Career status – the placement of career status AGR members will take
804,1,,career broadening assignments. Recruiting and Retention personnel will not be assigned  additional duties that interfere with their primary responsibilities.
807,1,,11.2. Entry Grade/Skill-Level Qualifications. All Recruiting and Retention tours will begin  after successful completion of any USAF Recruiting School.
817,1,,11.4.1. It is important for state and unit supervisors to create a force management plan that  will enable deserving Recruiting and Retention personnel to have an opportunity for upward  mobility.
818,1,,11.4.2. All Recruiting and Retention tours will be based on state AGR hiring guidelines. Tour
821,2,,11.5.1. Occasional Recruiting and Retention tours are authorized for short periods of time to  fulfill work requirements directly supporting recruiters. Requests for occasional Recruiting and  Retention tours will be submitted in writing through the HRO to NGB/A1PP and will require  NGB/A1Y concurrence.
823,2,,11.5.2. Occasional Recruiting and Retention tours will be for a minimum of 31 days and will  not exceed 36 months in duration without prior approval from NGB/A1PP. Provisions of  paragraph 13.4 apply.
826,3,,"11.6.2. The immediate supervisor will furnish the Airman a letter of counseling when  production or expected performance standards are not being met. The Airman will be given  adequate time correct/improve performance, as determined by supervisor and SPS. If the  performance standards are not met, the Airman will be involuntary curtailed in accordance  with paragraph 8.5 of this instruction."
837,1,,physical package evaluation will not be eligible to start on AGR orders.
842,1,,"12.2.2.1. The SAS, or delegated Flight Surgeon/Provider, will request to forward"
844,1,,12.2.2.2. The GMU should verify the condition is stable and the ALC will not expire
853,2,,"changes in the Airman's medical status at time of onset in accordance with DAFMAN 48-123.  Failure to report any changes that may affect the Airman’s duty and/or mobility status will be  considered non-compliant and will be referred to the commander, in writing, for administrative  action and separation from the AGR tour in accordance with AFI 36-3209."
854,1,,"12.3.3. AGR personnel will be counseled that scheduling elective surgery (AFI 44-102,  Chapter 6) without the approval of the Air/Detachment/Mission Commander may be  considered an abuse of privileges and may result in disciplinary action."
862,2,,12.3.4.2.2. Members will work directly with the commander regarding Pregnancy  Convalescent Leave in accordance with DAFI 36-3003. AGR tours will not be  extended for the sole purpose of pregnancy. Pregnancy and any complications of  pregnancy are not eligible for Line of Duty determinations in accordance with DAFI  36-2910.
863,1,,12.3.4.3. Occasional and AGR deployment-backfill tours will expire as indicated on the
864,1,,orders. Occasional tours will not be extended for complicated or non-complicated  pregnancies.
869,1,,"12.3.5.2. AGR Airmen will schedule their PHAs with the Host MTF, if co-located, or with"
870,1,,"their GMU for their annual PHA in accordance with AFI 48-170. AGR Airman will report  all medical/dental treatment obtained through civilian sources to the GMU at the time of  onset, not to exceed 72 hours, in accordance with AFMAN 41-210 and DAFMAN 48-123."
873,1,,"the AGR tour was greater than 180 days. If the AGR tour was less than 180 days, members  must complete a DD Form 2697 in lieu of a SHPE prior to their separation from AGR status.  See DoDI 6040.46 and DAFMAN 48-123 regarding SHPE. The SHPE will be performed by  VA, Host MTF, or RHRP contract."
875,3,,"30 days, who are not offered a follow-on tour, will not be involuntarily released from AGR  status if there are any unresolved in-LOD condition(s) that may render the member unfit for  duty under the DES, and the DES is still pending. Orders will be published extending the tour  until the outstanding in-LOD condition has been resolved, or the member is found fit for duty,  separated, or retired as a result of the DES finding. If the Airman is subsequently found to be  medically disqualified for continued military service, the individual will be separated or  discharged in accordance with AFI 36-3212. AGR members are not authorized INCAP pay,  pre-MEDCON, or MEDCON orders."
882,1,,"13.1.2. New accessions or promotions will not be authorized prior to new positions being  funded, validated, and effective on the appropriate UMD unless authorized by NGB/A1."
889,1,,13.2.1.2. Manpower RAs and controlled grade ceilings will not be exceeded without prior
907,1,,"AGR positions. If selected for a career AGR position, the state will process an amendment  to end the OTOT orders and process the Initial Probationary Order. Time served on the  OTOT does not count towards the probationary period."
909,1,,"13.4.1.5. The normal occasional tour length is 179 days, with a maximum time frame not  to exceed 36 months. Airmen should have at least a 31-day break in AGR service to be put  on a second occasional AGR tour. All occasional tours are accommodated within the state’s  current RA. Occasional tours will not require a manpower change request (MCR) action."
1311,2,,not require competition provided the selectee meets all AGR program accession and military  position requirements. The maximum tour length is 179 days. Airmen must have at least a 31-day  break in AGR service to be put on a second occasional AGR tour. All occasional tours are  accommodated within the State’s current RA. Occasional tours will not require a MCR action. A  permanent AGR resource will not to be filled by multiple occasional tours. The intent of occasional  tours is to temporarily fill a full-time requirement short term while that requirement is being  advertised and hired.
1316,1,,"Unit—Often defined in manpower and personnel data systems by a distinct Personnel Accounting  Symbol (PAS) code, units are individual, functional organizations. However, operating locations  and detachments, which hold their own PAS codes, are considered parts of a parent unit versus  being a individual unit. Note: Combat Readiness Training Centers will be defined and treated as  units."
1346,1,,of the AGR tour. The following codes will be used:
1350,1,,"A4.1.2. ANG-TECHNICIAN-ID will automatically update to a ""3"" for AGR personnel when  one of the above codes is entered. CIVILIAN_GRADE must be updated."
1351,1,,A4.1.3. The servicing FSS will ensure all other PDS updates required as a result of an
