section_number,section_title,content
5.2.1.1,,"If the UMD position requires a mandatory training school for the award of the 3- level AFSC, they may be assigned immediately. The following statement will be included  in the remarks section of the AF Form 2096, Classification/On-The-Job Training Action:  “I acknowledge that I will attend the first available course that would qualify me in the new  AFSC. I will complete the course successfully and progress in training to a skill-level compatible  with my UMD assignment. Failure to do so will result in the termination of my AGR tour.”   The AF Form 2096 must be accomplished before the orders are published.   ANGI36-101  21 APRIL 2022  23"
5.2.1.2,,"If the Airman fails to successfully complete the required formal training in  accordance with DAFI 36-2670, Total Force Development and AFMAN 36-2100, Military  Utilization and Classification, or fails to attend the first available course without  permission from the commander or supervisor due to exceptional circumstances, the  individual will be removed from AGR status."
5.2.1.3,,"Individuals must continue to progress in training in accordance with DAFI 36- 2670 and AFMAN 36-2100, to a skill-level compatible with their UMD assignment.  Airmen who do not progress to the next skill-level will be removed from AGR status."
5.2.1.4,,Airmen approved for retraining may incur a Reserve Service Commitment in  accordance with AFMAN 36-2100 upon completion of training.
5.3,,"Grade.  To accept an AGR position, an applicant’s military grade cannot exceed the  maximum military authorized grade on the UMD for the AGR position. Reference paragraph 6.6  for proper assignment to a position/unit. Enlisted Airmen who are voluntarily assigned to a position  which would cause an overgrade must indicate in writing a willingness to be administratively  reduced in grade in accordance with AFI 36-2502, Enlisted Airman Promotion/Demotion  Programs, when assigned to the position. Acceptance of demotion must be in writing and included  in the assignment application package."
5.4,,Commissioning of Enlisted Member.  Enlisted personnel applying for officer positions  must be eligible for commissioning upon application for AGR duty. Assignment to the AGR tour  will not become effective until the individual receives a commission in the ANG and as a Reserve  of the Air Force and has completed formal training for which an AFSC has been awarded
5.5,,"Air Force Fitness Standards.  AGR Airmen are subject to the provisions of AFMAN 36- 2905, Air Force Physical Fitness Program. Airmen must meet the minimum requirements for each  fitness component in addition to scoring an overall composite of 75 or higher for entry into the  AGR program. For members with a documented DLC which prohibits them from performing one  or more components of the Physical Fitness Assessment (PFA), an overall ""Pass"" rating is required  and any DLC must be resolved prior to accession."
5.6,,Security Clearance.  AGRs must have a current favorable adjudicated personnel security  investigation that is commensurate with their currently assigned AFSC. Local security  representatives can provide verification of security clearance information using the Defense  Information System for Security (DISS).
5.6.1,,"AGR follow-on assignments will not be issued without a current favorable adjudicated  security clearance investigation. Extensions to orders while awaiting security clearance  adjudication will be considered on a case-by-case basis and must be submitted through TAG  or CG, or designee, to NGB/A1PP for consideration."
5.6.2,,"If a Top Secret security clearance is not held by Airmen selected for an AGR assignment  that requires access to top secret information, the Airman must initiate a security clearance  update. The AGR selectee must notify his/her unit security manager to initiate a new security  investigation. The HRO/AGR Manager will not issue the AGR orders until the security  clearance upgrade is initiated, and the member has a current favorable investigation."
5.7,,"Separated for Cause.  To be accessed in the AGR program, an individual must not have  been previously separated for cause from a previous Reserve Component AGR tour or from any   24  ANGI36-101  21 APRIL 2022  Active Component. Requests for waiver to this policy will be annotated on the AF Form 679 and  routed to NGB/A1PP."
5.8,,Retainability for an AGR Assignment.  Enlisted personnel must obtain sufficient  retainability to fulfill an AGR assignment.
5.9,,"Sanctuary.  It is not the intent of the AGR program to bring non-career applicants into the  sanctuary zone (18 to 20 years of TAFMS). Anyone whose order, whether active duty (AD) or  full-time National Guard duty (FTNGD) other than for training, places them at 18 years or more  of TAFMS will require a signed, approved sanctuary waiver in accordance with DAFI 36-2110,  Total Force Assignments."
5.10,,"Inability to attain 20 years TAFMS.  AGR applicants should be able to attain 20 years of  TAFMS in the AGR career program. Waiver authority of this requirement is The Adjutant General,  Commanding General, or designee. Individuals selected for AGR tours that cannot attain 20 years  of TAFMS prior to reaching mandatory separation must complete the Statement of Understanding  contained in Attachment 3. The HRO will maintain the completed, signed Statement of  Understanding."
5.11,,"Medical Requirements.  Applicants for permanent, occasional or AGR deployment  backfill tours must meet the requirements outlined in Chapter 12.   ANGI36-101  21 APRIL 2022  25  Chapter 6  ASSIGNMENTS, REASSIGNMENTS, AND MANAGEMENT DIRECTED  REASSIGNMENTS"
6.1,,Orders—AGR Tours Lengths and Mandatory Remarks.
6.1.1,,Length of Tours. Initial AGR tour orders are probationary. The probationary period  must be a minimum of one year and will not exceed six years (Reference paragraph 6.2).
6.1.1.1,,Follow-on tours will not exceed six years and will not extend beyond an enlisted  Airman's Expiration of Term of Service (ETS) or an officer's Mandatory Separation Date  (MSD).
6.1.1.1,,1.  A member’s ETS or MSD does not satisfy the requirement outlined in this  instruction reference required notification for non-continuation in the AGR duty status  (180-day notification).
6.1.2,,"AGR orders will be initiated by the HRO Remote Designee at each military installation  and managed by the HRO/AGR Manager at each JFHQ. For units who do not have an HRO  Remote Designee, the commander will appoint a designee. The orders will include the  following mandatory statement in the remarks:  “Upon approval and by order of federal command authority, ANG AGR Airmen will  automatically convert to Title 10 USC Section 12301(d)/12302/12304 status (as appropriate)  when performing duty OCONUS or CONUS, supporting Active Duty requirements for  operations/missions/exercises. All Title 10 duty, regardless of length, will be documented  via ANG Form 1299 which shall reflect the Title 10 authority, Title 10 duty inclusive dates,  named mission and MAJCOM being supported. T10 duty in support of Regular Air Force  operational requirements must be supported by and reconciled to M4S authorizations.  While performing duty under Title 10 orders, AGR Airmen are assigned to the 201 MSS,  ANGRC, Joint Base Andrews, MD for ADCON purposes and subject to the Uniform Code  of Military Justice (UCMJ). AGR Airmen will revert to their original Title 32 USC Section  502(f) status upon completion of this period. This policy applies to both CONUS and  OCONUS duty supporting current or future operations. By order of the commander, ANG  AGR Airmen will automatically convert to Title 10 USC 10147 status when performing  duty OCONUS for training purposes."""
6.1.2.1,,Refer to paragraph 7.8.2 for further information and tracking of applicable Title  10 duty of AGRs.
6.1.2.2,,"Units performing Aerospace Control Alert (ACA) missions will auto-convert in  accordance with AFPD 38-1, Manpower and Organization, 29 August 2019 and DoDI  1235.12, Accessing the Reserve Components (RC)."
6.2,,"Probationary Period.  In accordance with DoDI 1205.18 the probationary period for all  AGRs begins when the individual starts their initial AGR assignment and is defined by the length  of the initial tour. TAG or CG will determine the initial probationary period. This authority may  be delegated no lower than the Director, HRO. States have the option to conduct an ACB to select  for career status.   26  ANGI36-101  21 APRIL 2022"
6.2.1,,"Extension to Probationary Period. With HRO concurrence, commanders may elect to  extend an AGR member’s probationary period in any increment not to exceed six years. The  HRO/AGR Manager will maintain a roster of all probationary AGR members to ensure  appropriate force management decisions are communicated in required timeframes."
6.2.2,,It is recommended states use the ACB to review AGRs prior to the end of initial  probationary AGR assignment. The ACB process is outlined in Chapter 9 of this Instruction.
6.3,,"Tour Expiration.  Individuals who are not granted career status after the probationary period  (including extension to probationary period) or are not renewed will be separated on the expiration  of their AGR order. The HRO will ensure Airmen are notified at least 180 days prior to tour end  date. All AGRs, regardless of their career status, are entitled to separate on the expiration of their  AGR order with applicable entitlements."
6.4,,Extension of Current Tour and Subsequent Tours.
6.4.1,,"Extension of the current tour or selection for subsequent tours is based on the mission  needs of the unit and authorized force structure. An AGR Airman will be considered career  status upon completion of the initial AGR tour, or probationary extension not to exceed 6 years,  and order renewal."
6.4.2,,The HRO will ensure Airmen are notified at least 180 days prior to their tour end date  if their AGR tour is not being renewed.
6.5,,Permanent Change of Station (PCS).  Travel and transportation entitlements will be as  prescribed by the JTR. Wing comptrollers are responsible for advising state and unit personnel  managers on PCS entitlements to support approved PCS moves.
6.5.1,,The following procedures apply to PCS assignments:
6.5.1.1,,The gaining state will publish the AGR order with the concurrence of the losing  state's TAG or CG. The order is contingent upon the conditional release of the individual  and subsequent enlistment or appointment in the gaining state.
6.5.1.2,,The AGR assignment order will include the number of days required for the  Airman to travel to the gaining state. The Airman must travel inside the tour start and end  dates.
6.5.1.3,,The same procedures apply for PCS moves between units in the same state.
6.6,,"Assignment to Position/Unit.  AGR Airmen are responsible for assisting in the organization,  administration, recruitment, instruction, or training of ANG personnel and are primarily assigned  against mobility positions. The TAG or CG may approve AGR assignments to the state  Headquarters, HRO, or JFHQ provided a validated full-time manpower requirement exists on the  UMD."
6.6.1,,"Airmen should remain in their initial, assigned position for a minimum of 24 months.  TAG or CG, or designee may waive this requirement when in the best interest of the unit, state,  or ANG."
6.6.2,,"ANG AGR Airmen must be assigned against a full-time requirement reflected on the  programmed UMD as extracted from the Manpower Programming and Execution System  (MPES). AGR officers are only assigned to funded military positions identified with a  Resource Identifier Code (RIC) “0034” (AGR Officer). Enlisted AGRs are only assigned to   ANGI36-101  21 APRIL 2022  27  funded military positions with a RIC “0148” (AGR Enlisted) on the UMD. Note: If authorized  within the state, the use of Local Area Realignments (LAR) may result in a RIC mismatch  between the AGR status of the member and the documented UMD position. AGR members  will be coded as AGR in MilPDS when using an LAR."
6.6.2.1,,"AGR Airmen must be assigned as the sole occupant of their AGR position (i.e.,  not assigned in excess) in accordance with DAFI 36-2110."
6.6.2.2,,"AGRs cannot be assigned to positions identified on the UMD with the following  RICs: “0036” (Student Officer), “0127” (Student Enlisted), “0160” (T5 Civilian), “0170”  (Technician), or “8888” (Contract Manpower Equivalent)."
6.6.2.3,,"If a full-time position on the UMD is identified with a RIC “0170” (technician)  and the unit wants to execute it as an AGR, the unit must locally realign the resource before  assigning an Airman in AGR status to the position. In cases of LAR, AGR Airmen may be  assigned against RIC 0028 or RIC 0128 on the UMD provided the drill position has a  corresponding full-time Dual-Status Technician associated with it."
6.6.2.4,,"Airmen with a student flight primary AFSC (PAFSC) of 92 and 9T will not be  assigned to AGR positions, nor perform occasional tour AGR duty."
6.6.2.5,,"AGRs are not authorized assignment against a first sergeant position unless there  is a valid full-time requirement on the UMD. Requests for waivers to this policy will be  submitted by AF Form 679 through TAG or CG, with coordination from the state/Territory  Command Chief to the ANG First Sergeant Component Functional Manager (CFM) for  consideration.   Approved waivers will be accomplished through LAR of AGR resources  within the requesting state/territories’ allocated AGR authorizations."
6.7,,"Voluntary Reassignment.  Reassignment to an AGR position requires the new position to  have a grade no lower than the individual's current military grade (unless the enlisted Airman  agrees in writing to a reduction in grade in accordance with AFI 36-2502. The reassignment must  not lead to an overgrade, excess, or a promotion beyond the highest AGR grade identified for the  member’s current position when advertised and hired (see paragraph 13.6 and Table 13.1)."
6.7.1,,An amendment to the Airman's AGR order reflecting the new UMD position must be  accomplished.
6.7.2,,AGR personnel affected by UMD reductions will be given priority for reassignment to  any available vacant AGR position within the state for which they are currently qualified or  can become qualified (see Chapter 10).
6.7.3,,New hires may only be authorized after AGR Airmen affected by the UMD reductions  have been placed (see Chapter 10).
6.7.4,,"Airmen who are reassigned to a new position should remain in that position for a  minimum of 24 months. TAG or CG, or designee may approve waivers when in the best  interest of the unit, state, and ANG."
6.7.5,,"Commanders may offer voluntary reassignment opportunities to AGR members. AGR  members may request voluntary reassignment opportunities, however, neither the chain of  command nor the HRO are obligated to release an AGR member from his/her current  assignment.   28  ANGI36-101  21 APRIL 2022"
6.8,,"Management Directed Reassignment (MDR).  MDRs are involuntary reassignments of  AGR personnel. Commanders will leverage the MDR program to effectively integrate personnel  force development goals, operational requirements, and career management objectives that sustain  and support their unit/wing/state requirements."
6.8.1,,"With HRO concurrence, commanders may elect a lateral MDR of an AGR Airman  without advertising the position and without the Airman's consent. The Airman must already  be qualified in the duty AFSC. MDRs will not create any excess or overgrade conditions nor  will they lead to any promotions beyond the highest military grade identified for a member’s  current position when advertised and hired. Exceptions are permitted for officers who have  been selected by a promotion board and have not yet pinned and are currently occupying a  higher graded position. Note: The HRO will notify AGR members in writing if they are subject  to MDR."
6.8.2,,"AGRs should serve at least 24 months in their present position to be considered for a  MDR. MDRs with less than 24 months in current assignment require waiver approval by TAG  or CG, or designee."
6.8.3,,AGR Airmen who decline a MDR will be released from the AGR program no earlier  than 90 days after the date they decline. Airmen who desire to be released earlier than 90 days  must make a written request through their chain of command to the HRO.
6.9,,"Key Staff Assignments.  A key staff position is a dual status, managerial position which the  incumbent is a member of the immediate staff of the state Adjutant General, or the Commanding  General, or who serves under direct supervision of TAG or CG. TAG or the CG has the authority  to non-competitively appoint AGR Airmen in order to accommodate either an “overarching  military consideration” or a military assignment at the key staff level. Key staff positions are  identified by NGB-J1-TCP."
6.10,,"Details.  Details are one-time, short-term assignments designed to meet an emergent need.  AGR Airmen detailed outside their AFSC will not be detailed for more than 120 days within a  four-year period. Consecutive or “back-to-back” details are prohibited. All details must be  coordinated with and monitored by the HRO or AGR Manager."
6.10.1,,"An AGR undergoing a command directed investigation may, when in the best interest  of good order and discipline, be detailed outside of his/her duty location until a determination  has been made in the investigation."
6.10.2,,"An AGR who is the alleged victim of sexual harassment, sexual assault, or intimidation  may be detailed outside of his/her duty location until a determination has been made in the  investigation, or transfer to another unit occurs."
6.11,,"Military Personnel Data System (MilPDS) and Defense Joint Military Pay System  (DJMS).  Permanent, occasional, and AGR deployment backfill tours will be entered into MilPDS  in accordance with Attachment 4 of this instruction. Permanent AGRs will be paid through the  Defense Joint Military Pay System – Active Component (DMJS-AC) and occasional/AGR  deployment backfill tours will be paid through the Defense Joint Military Pay System - Reserve  Component (DJMS-RC).   ANGI36-101  21 APRIL 2022  29  Chapter 7  FORCE MANAGEMENT AND UTILIZATION"
7.1,,"Promotions.  The grades of Senior Master Sergeant, Chief Master Sergeant, Major,  Lieutenant Colonel, and Colonel are congressionally controlled in accordance with 10 USC §  12011 and 10 USC § 12012. Promotion to these controlled grades cannot exceed the annually  established military duty end-strength or grade ceilings or the individual controlled grade  allocation provided to each respective state (reference Chapter 13 of this instruction). Therefore,  the following controls are necessary:"
7.1.1,,"Officer and enlisted AGR personnel selected for promotion must be the sole occupant  of a higher-grade UMD full-time funded position prior to assuming the new grade. Promotion  opportunity is limited to the authorized grade on the incumbent’s current AGR position as  reflected on the programmed UMD. By law, officers not occupying a higher-grade position, or  constrained by controlled grade limitation, may not assume the new grade."
7.1.1.1,,"Example:  A major cannot be position-vacancy promoted to lieutenant colonel if  the authorized grade on the UMD AGR position is major. To advance/further promotion  opportunity, the individual must find a different AGR job with greater responsibility and  higher authorized military grade."
7.1.1.2,,Example:  A major can be position-vacancy promoted to lieutenant colonel if the  authorized grade on their UMD AGR position is lieutenant colonel or higher.
7.1.2,,"Officers selected for promotion under Reserve Officer Promotion Management Act  (ROPMA) can only be promoted within the state’s controlled-grade ceilings. The availability  of a controlled grade and an assignment in a funded, AGR position on the UMD (RIC “0034”  or “0148”) will be determining factors. Promotions will be involuntarily delayed, indefinitely,  if a controlled grade is not available. Reference AFI 36-2504, Officer Promotion, Continuation  and Selective Early Removal in the Reserve of the Air Force for additional guidance. If a  controlled grade (O-5) is available, an officer promoted under ROPMA may be assigned as an  overgrade in an O-4 position on the UMD in accordance with DAFI 36-2110."
7.1.2.1,,"The promotion is considered involuntarily delayed due to controlled grade  limitations in accordance with 10 USC § 14311. When the controlled grade becomes  available, the officer may assume the higher grade."
7.1.2.2,,"Pending the availability of a controlled grade in the promoted rank, TAG or CG  may permit the overgrade assignment of an AGR officer selected under ROPMA in  accordance with DAFI 36-2110. AGR officers may be retained until their completion of  20 years TAFMS and attained three years' time-in-grade, or until they reach their MSD,  whichever is earliest."
7.1.3,,"All AGR colonel promotion nominations will be coordinated through the HRO/AGR  Manager and MPMO to NGB/A1PO, Officer Force Management and Policy Branch."
7.1.4,,"Enlisted AGRs must be fully qualified and may not be promoted above the grade of  their UMD position. Note:  In accordance with AFI 36-2502, AGR members qualified for a  STEP I promotion may be promoted above their grade on the UMD. AGR members are not  eligible for STEP II promotions.   30  ANGI36-101  21 APRIL 2022"
7.2,,"Reenlistments/Extensions.  Enlisted AGRs who are granted continuation as a result of the  ACB, or are extended on their AGR tour, are authorized to reenlist or extend if otherwise qualified  in accordance with AFI 36-2606, Reenlistment and Extension of Enlistment in the United States  Air Force, to support the retainability requirement."
7.3,,"Air Force Fitness Program.  AGR Airmen are subject to the provisions of AFMAN 36- 2905, Air Force Physical Fitness Program. Airmen must meet the minimum requirements for each  fitness component in addition to scoring an overall composite score of 75 points or higher to  qualify for any personnel actions (such as promotion, PME attendance, etc.). For Airmen with a  documented DLC which prohibits them from performing one or more components of the PFA, an  overall ""Pass"" rating is required."
7.3.1,,"With HRO approval, commanders may request a one-year continuation in cases where  an AGR Airman’s order end date occurs during a period of time following a failed fitness  assessment."
7.3.2,,"With HRO concurrence, a commander may request the accession of an Airman into the  AGR program with a current “Exempt” on the fitness assessment. Commanders should  consider these cases judiciously and review the Airman’s complete fitness history before  making the request."
7.4,,"Performance Evaluations.  Officer and Enlisted personnel will have Officer Performance  Reports (OPR), Enlisted Performance Reports (EPR) and Performance Feedback Worksheets  (PFW) rendered in accordance with DAFI 36-2406, Officer and Enlisted Evaluation Systems. The  unit/wing commander or designated representative will establish the supervisory/evaluation chain  and the rating in accordance with DAFI 36-2406. The rating chain must include a full-time  supervisor (AGR or military technician) as the rater, additional rater, or reviewer."
7.5,,Training and Developmental Education (DE).  AGR members will be afforded the same  opportunity for enhancing their military knowledge and career as is presently available to all other  ANG Airmen. AGR members attend all service schools in their AGR status. Orders will indicate  the fund citation for travel and per diem provided under the school quota authorization.
7.5.1,,Ancillary Training. All AGR personnel are required to complete all required ancillary  training.
7.5.2,,"Skills Training. Individuals must continue to progress in training, in accordance with  DAFI 36-2670, Total Force Development, to a skill level compatible with their UMD position.  If an Airman fails to successfully progress in upgrade training, the individual could be  reassigned to a vacant UMD position for which they are qualified, involuntarily demoted in  accordance with AFI 36-2502, and/or removed from the AGR program."
7.5.3,,Formal Training. Formal training courses listed in the Education and Training Course  Announcements (ETCA) will be requested when the need for training is mission essential.  Training requests will be submitted through FSS Force Development.
7.5.4,,"Training Waivers. AGRs will use the training waiver procedures currently prescribed  by DAFI 36-2670, Total Force Development."
7.5.5,,"Developmental Education (DE). AGRs are afforded the same opportunities for DE as  other Airmen of the ANG. AGRs may apply for in-residence participation or elect completion   ANGI36-101  21 APRIL 2022  31  through distance learning. AGRs may incur an ANG service commitment in accordance with  AFMAN 36-2100, upon completion of training."
7.5.6,,Retainability. AGRs will meet appropriate retainability requirements according to the  education and training course announcements.
7.5.7,,Airmen performing AGR occasional tours may attend DE opportunities in AGR status  when authorized by the HRO.
7.6,,"Duties and Work Schedules of Permanent, Occasional and AGR Deployment Backfill  Tour  Personnel."
7.6.1,,Duties of AGR personnel will be governed by the functions inherent to the AGR  positions they occupy on the UMD and Duty Air Force Specialty Code (DAFSC).
7.6.2,,"AGR Airmen will perform a minimum of forty hours of duty per week. Regular or  alternate work schedules for AGRs, as approved by TAG or CG, should not deviate from those  approved for military technicians."
7.6.3,,"All AGR Airmen are required to participate with their unit of assignment during  Regularly Scheduled Drill (RSD) or equivalent periods of training unless excused from duty  in accordance with DAFI 36-3003, Military Leave Program. AGR personnel will also be  available to participate in annual training periods, deployments, and exercises when required."
7.6.4,,RSD does not count towards the 40-hour work week commitment.
7.6.5,,"AGR Airmen are available for duty 24 hours a day, seven days a week; therefore,  compensatory time-off for duties performed in excess of established working hours is not  authorized. However, Airmen who earn the privilege may be granted a special pass in  accordance with DAFI 36-3003."
7.7,,Supervision of Personnel.  The concept of the senior military individual being assigned  supervisory responsibilities is an essential element of military service and an inherent part of the  military organizational structure. Supervisory authority for AGR Airmen shall correspond to  military operational lines of authority.
7.7.1,,Commanders will maintain unity of command and integrity of supervisory  relationships. Military rank is the determining factor when designating supervisory  responsibilities. Grade inversion is detrimental to the military nature of the ANG and is not  authorized.
7.7.2,,The assignment of family members to the same unit is only permissible in accordance  with DAFI 36-2110.
7.8,,"AGR Members Performing Title 10 Duty.  Upon acceptance of an AGR tour and orders,  an Airman provides individual consent to Title 10 duty with the inclusion of the mandatory  remarks outlined in paragraph 6.1.2 Performance of approved and validated Title 10 duty  includes Airman’s consent, command authority, accountability, and fiscal authority. ANG AGR  Airmen are still considered AGRs during the period of Title 10 service and would be considered  serving any established AGR probationary period concurrently."
7.8.1,,"AGR members called or ordered to Title 10 federal active duty (OCONUS/CONUS)  supporting Active Duty requirements for operations/missions/exercises/training (10 USC §  12301(d), 12302, 12304, or 10147) will not be terminated from their 32 USC § 502(f) orders.   32  ANGI36-101  21 APRIL 2022  This does NOT include the requirement for Airman to attend formal training in Title 10 status.  Note: this paragraph does not meet the intent of AGR Airmen who apply for ADOS/MPA  opportunities (see paragraph 2.8.3.2)."
7.8.2,,"AGRs Performing Title 10 Duty in Support of Air Force Active Duty Requirements.  Upon approval and by order of a Federal command authority, AGRs performing Title 10 duty  for 30 or more consecutive days in support of the active Air Force pursuant to 10 USC §  12301(d) , 10 USC § 12302, or 10 USC § 12304, for which reimbursement of AGR accounts  may be required as set forth in paragraph 7.9.4, must have their AGR order amended to  include in the remarks section the following information and have such duty documented on  ANG Form 1299 (regardless of duration of tour), which shall reflect: Authority in which they  are called to Title 10, inclusive dates of the Title 10 duty, named mission they are supporting,  and active duty MAJCOM they are being tasked to support. An example is as follows: “AGR  Airman will convert to Title 10 USC Section 12301(d) in support of OPERATION  ENDURING FREEDOM from 15 January 2009 to 26 May 2009, GMAJCOM: ACC.”  If the  GMAJCOM releases the AGR Airman from Title 10 duty sooner than original expiration day,  an amendment to to the ANG Form 1299 must reflect the appropriate end date of the Title 10  duty."
7.8.2.1,,"The ANG Form 1299. This form must be completed by the unit, certified by the  AGR member’s commander, and provided to the FSS for the member’s record to be  updated in MilPDS and for assistance accomplishing the necessary DD Form 214.  Examples of missions that may require an AGR to perform occasional Title 10 duty/day(s)  include but are not limited to: Aerospace Control Alert (ACA), North East Tanker Task  Force (NETTF), Unmanned Aircraft Systems (UAS)/Remotely Piloted Aircraft (RPA)  (such as Predator, Reaper, Global Hawk), Distributed Common Ground System (DCGS),  State Partnership Program (SPP), etc."
7.8.2.2,,"The ANG Form 1299 must be completed for every period of Title 10 duty  regardless of duration. A sample of ANG Form 1299, Certificate of Statement of Service  can be found in Attachment 15. The ANG Form 1299 is a source document which will be  entered into the member’s record in the Automated Records Management System (ARMS).  Please note this form is applicable to Officers and Enlisted Airmen."
7.8.3,,"Commanders in a Title 10 status cannot take Title 32 command-action as they are  relieved of their state Title 32 status while federally activated on Title 10 orders in accordance  with 32 USC § 325, Relief from National Guard Duty When Ordered to Active Duty. Note: the  only exception being lawfully appointed Dual Status Commanders."
7.8.4,,"An AGR member on Title 10 active duty orders must primarily support the active duty  mission, and any Title 32 business conducted should be incidental to the primary support of  the Title 10 federal mission."
7.8.5,,Title 10 activations (voluntary or involuntary mobilization) of AGR members are  normally in support of Aerospace Expeditionary Force (AEF) rotations for contingency  operations. Title 10 activations of 365 days are beyond the intent and purpose of the AGR  program.
7.9,,"AGRs Traveling Outside the United States, Its Territories, and Possessions on Official  Duty.  DoDI 1215.06, Uniform Reserve, Training, and Retirement Categories for the Reserve   ANGI36-101  21 APRIL 2022  33  Components, provides that Airmen must be in Title 10 status when outside the United States, its  Territories, and possessions. Title 32 ANG AGR members may have to travel outside the United  States, its Territories, and possessions in connection with their AGR duties (e.g., AEF Rotations,  State Partnership Program Director). In such cases by accepting entry into the AGR program, the  Airman consents to being automatically converted to Title 10 status under 10 USC § 12301(d) or  10 USC § 10147 (as applicable) for the duration of the OCONUS duty while retaining their status  as AGRs during this period. Therefore, all AGR orders upon acceptance of an AGR tour will  include the mandatory remarks outlined in paragraph 6.1.2."
7.9.1,,"Contingency, Exercise, and Deployment (CED) orders and other travel (TDY) order  requirements while performing Title 10 duty. If AGRs are TDY from their home station,  applicable CED or TDY orders will be published in accordance with AFI 65-103, Temporary  Duty/Special Orders and DAFI 36-3802, Force Support Readiness Programs."
7.9.2,,Home Station. AGRs activated to Title 10 duty at home station (voluntarily or  involuntarily) are not required TDY or CED orders. Follow the guidance set forth in paragraphs
6.1.2,,and 7.8.2 and 7.8.2.1 to document Title 10 duty served in support of active duty  requirements.
7.9.3,,"Title 10 Duty Accountability. MilPDS is the Air Force system of record for end-strength  accounting and tracking activations to include home station active duty. When an AGR is  activated on Title 10, whether voluntarily or involuntarily for active duty support  (OCONUS/CONUS), the AGR’s Title 10 active duty tour must be updated in MilPDS."
7.9.3.1,,Source for Updating. Use the form ANG Form 1299 to document the period of all  Title 10 service performed by an AGR. The AGR Manager or office responsible for  amending AGR orders to reflect an AGR’s Title 10 service will provide a copy to the  FSS/IPR for updates to MilPDS.
7.9.3.1,,"1.  Ensure the ANG-TECH-ID is updated or has been updated to a code ""3""  prior to initiating the limited mobilization code ""H"" or ""E"" update to prevent pay  interface transactions from producing."
7.9.3.1,,"2.  Using the Limited Mobilization application in MilPDS, update the  following:  For 10 USC § 12301(d) tours, enter volunteer tour with a Reserve Active  Duty Reason (RADR) equaling code ""F""; for 10 USC § 12302, enter involuntary tour  with a RADR equaling code ""H""; and for USC Section 12304, enter tour with a RADR  equaling code ""E""."
7.9.4,,"Title 10 Duty Fiscal Authority/Reimbursement for Title 10 Tours. NGB/FM is  responsible for ensuring the days (dollars) during which an ANG AGR converts to Title 10 in  support of active duty requirements is reimbursed by Air Force FM. Wing Comptroller offices  will ensure the Manpower MPA Man-day Allocation Management System (M4S) is updated  for the ANG to be reimbursed for applicable AGR’s Title 10 active duty. It is imperative, from  a fiscal perspective, reimbursement requests are updated in M4S, so appropriations are  consistent with the purpose of the duty in accordance with 31 USC § 1301(a). Reimbursement  is not applicable to 10 USC § 10147. For ANG AGRs on Title 10 duty to support the State  Partnership Program, reimbursement will be coordinated between NGB-J53-IA and NGB/FM  to execute reimbursement as needed using existing ANG reimbursement procedures.   34  ANGI36-101  21 APRIL 2022"
7.9.5,,"Documentation of Title 10 Service. The FSS will issue a DD Form 214 for all periods  of Title 10 active duty in accordance with AFI 36-3202. Refer to paragraph 2.4.2.1 in AFI  36-3202 to determine inclusive Title 10 active duty period of service for voluntarily or  involuntarily for active duty support (10 USC § 12301(d), 12302, or 12304). To determine  inclusive Title 10 active duty period of service for Title 10 training (10 USC § 10147) use the  validated travel voucher or the ANG Form 1299."
7.10,,Emergency Domestic and “Immediate Response” Situations.
7.10.1,,Emergency Situations. States should be cognizant of the fact that using AGR Airmen  for emergency domestic situations has fiscal law and Anti-Deficiency Act implications and  must be governed judiciously.
7.10.1.1,,"When an AGR Airman’s unit is ordered to operational 32 USC § 502(f)(2), 32  USC § 502(a), or State Active Duty (SAD) status to support an emergency domestic  situation, the AGR Airman may accompany his or her unit and continue to perform his or  her normal AGR duties."
7.10.1.2,,"Since AGR duty is year-round military duty, and AGR Airman may not, by  taking leave, be placed in another military status."
7.10.1.3,,"If an AGR Airman has a critical skill set that may be needed by another unit, that  AGR Airman may be attached to the deploying unit if no other reasonable option exits."
7.10.1.4,,This authority applies to individual AGR Airmen and does not constitute  authority to cross-level significant numbers of AGR Airmen from non-deploying units to  deploying units.
7.10.1.5,,Support of the operation or mission must be to the extent that doing so does not  interfere with the performance of his or her primary AGR duties.
7.10.1.6,,"For units composed entirely of AGRs and established by law to perform specific  functions in response to specific emergency domestic situations, such as Civil Support  Teams (CST), response to those contingency situations by performing those functions falls  within their normal AGR duties and a request from the President or Secretary of Defense  is not required to provide this operational response."
7.10.2,,"“Immediate Response” Situations. “Immediate Response Authority” is defined by  DoDD 3025.18, Defense Support of Civil Authorities (DSCA) as, “A Federal military  commander’s, DoD Component Head’s, and/or responsible DoD civilian official’s authority  temporarily to employ resources under their control, subject to any supplemental direction  provided by higher headquarters, and provide those resources to save lives, prevent human  suffering, or mitigate great property damage in response to a request for assistance from a civil  authority, under imminently serious conditions when time does not permit approval from a  higher authority within the United States.”"
7.10.2.1,,"AGRs may support an “Immediate Response” situation. Contingency situations  of an emergency nature, where AGR Airmen are employed under the immediate response  doctrine, shall be reported to the Chief, National Guard Bureau (CNGB) as soon as  practicable to permit reassessment of whether there remains a necessity to employ them  under that authority.   ANGI36-101  21 APRIL 2022  35"
7.10.2.2,,"If the “Immediate Response” activities of the AGR Airmen have not yet ended,  this reassessment shall occur not later than 72 hours after these AGRs were employed."
