section_number,level,parent_number,ancestry,section_title,content
3.18.7.5,4,3.18.7,"['3', '3.18', '3.18.7']",Reassignment for the purpose of obtaining extended family support.,
3.18.7.6,4,3.18.7,"['3', '3.18', '3.18.7']","Reassignment based on the availability of a free or lower cost program in an area  other than where currently assigned when the current duty location can provide adequate  services on base or through the local community.  Exception: When required services are  being received off base and are causing a significant financial hardship, a member can  apply for reassignment as an exception to policy.  Documentation provided with such a  request must clearly document the hardship. (T-3) This provision does not apply to a  dependent parent/parent-in-law since they are not eligible for coverage under TRICARE®.",
3.18.7.7,4,3.18.7,"['3', '3.18', '3.18.7']","Reassignment based on the climatic conditions or geographical area adversely  affecting a family member’s health, and the problem is of a recurring nature (such as  asthma, allergies, eczema, etc.).  Exception: Reassignment as an exception to policy can  be requested if the continued presence of the family member in such a climate/environment  is medically determined to be clearly life threatening.",
3.18.7.8,4,3.18.7,"['3', '3.18', '3.18.7']","The request is based on mental disorders (i.e., anxieties, compulsions,  obsessions, phobias, and motor or sensory manifestations or combinations thereof)  resulting from family separation incident to military assignment.",
3.18.7.9,4,3.18.7,"['3', '3.18', '3.18.7']","A request based on an intellectually or athletically gifted child.  Intellectually or  athletically gifted children do not qualify under the provisions of Public Law 95-561,  Defense Dependents’ Education Act of 1978, DoD instructions, and EFMP procedures.",
3.18.7.10,4,3.18.7,"['3', '3.18', '3.18.7']","The family member is in an institution, unless institution officials certify  frequent and regular visits will be medically beneficial to the family member, or if  admittance to or retention in the institution requires establishing, continuing, or renewing  state residency.",
3.18.7.11,4,3.18.7,"['3', '3.18', '3.18.7']","The disability is due to a short-term illness or injury, or when the prognosis for  complete recovery is satisfactory without the benefit of reassignment or deferment.",
3.18.7.12,4,3.18.7,"['3', '3.18', '3.18.7']",Reassignment from the CONUS to overseas for the sole purpose of establishing  a treatment program.   38  DAFI36-2110  9 AUGUST 2024,
3.18.7.13,4,3.18.7,"['3', '3.18', '3.18.7']",A request for reassignment to a location with a greater capability to provide  space available care in a MTF for a member with a dependent parent/parent-in-law when  the required care is available within the current assignment locale.,
3.18.7.14,4,3.18.7,"['3', '3.18', '3.18.7']",A request based on the medical condition of the member.  Assignment for this  reason is initiated by local medical authorities when it is determined the situation warrants  such action.,
3.18.7.15,4,3.18.7,"['3', '3.18', '3.18.7']",Requests for deferment will not be considered for members who have not been  selected and notified of reassignment or TDY in excess of 30 days.  A deferment request  for an officer can be considered based on the member’s appearance on the Vulnerable  Mover List (VML) if coordination with the appropriate assignment officer confirms  assignment selection is highly likely.,
3.18.7.16,4,3.18.7,"['3', '3.18', '3.18.7']",Deferment from reassignment when the required resources are available within  the projected assignment locale.,
3.18.8,3,3.18,"['3', '3.18']","Processing EFMP Requests.  Requests are submitted via vMPF in accordance with the  execution guidance in the myFSS website, Voluntary Assignments:  EFMP Reassignment.  (T-3)",
3.18.8.1,4,3.18.8,"['3', '3.18', '3.18.8']",Members should attach required documentation based on their reason for  request.,
3.18.8.2,4,3.18.8,"['3', '3.18', '3.18.8']","Recommendation by commander to include additional information or evidence  of material value.  If the commander recommends disapproval, complete justification must  be provided.  If the request is based on a spouse’s inability to manage the household in the  member’s absence due to unique family situations (as defined in DoDI 1342.19_AFI 36- 2908), the commander’s endorsement must include information about the existence (or  lack thereof) of the documented family care plan required by DoDI 1342.19_AFI 36-2908.  (T-3)",
3.18.8.3,4,3.18.8,"['3', '3.18', '3.18.8']","Members who are serving an accompanied overseas assignment that requests  reassignment based on medical, educational, related services or early intervention services  or early intervention services required for family members must provide applicable medical  documentation from the Special Needs Coordinator at the local MTF. (T-3)",
3.18.8.4,4,3.18.8,"['3', '3.18', '3.18.8']","Both members of a military couple must submit a request if the same assignment  consideration is desired.  When both apply, respective commander endorsements are  required. (T-3)",
3.18.8.5,4,3.18.8,"['3', '3.18', '3.18.8']",The local Special Needs Coordinator must review and provide input on all EFMP  requests.  Input must address the availability of required resources within the current  assignment locale. (T-3),
3.18.8.6,4,3.18.8,"['3', '3.18', '3.18.8']","The final approval/disapproval authority is AFPC/DPFXAA (RegAF and  USSF), ARPC/DPA (AGR only), or NGB/A1 (ANG). (T-2)",
3.18.9,3,3.18,"['3', '3.18']","Available Options When a Request is Disapproved.  When a request is disapproved,  the MPF must counsel the member on the following options:  members may apply (if eligible)  for retirement, retirement under hardship conditions, hardship discharge, or (for officers)  resignation or release from active duty.  For those who are pending reassignment, an EFMP   DAFI36-2110  9 AUGUST 2024  39  request must be submitted within 7 calendar days following receipt of the correspondence  disapproving the deferment or reassignment request. (T-3)",
3.18.10,3,3.18,"['3', '3.18']","Withdrawing a Request.  If a member wants to withdraw their request before a final  decision or departure on reassignment, the request must be submitted in writing to either the  MPF or AFPC/DPFXAA (RegAF and USSF), ARPC/DPA (AGR only), or NGB/A1 (ANG)  immediately.  Once a member has departed on an EFMP reassignment, the request can no  longer be withdrawn. (T-2) A request to withdraw an approved EFMP reassignment that was  provided based on either a lack of required medical resources within the current locale or on  environmental factors that were having a life-threatening effect on a family member will not  be favorably considered unless the situation has significantly changed since initial approval.   For this type of withdrawal request, input from the senior non-commissioned officer/Chief of  Medical Staff is required along with the member’s request.",
3.18.11,3,3.18,"['3', '3.18']","EFMP Assignment/TDY Restrictions.  If a member is granted a reassignment or  deferment under the EFMP (AAC 34, Table 3.1), the member will not PCS during deferment  period for a maximum of 12 months from their Date Arrived Station, or date of approval not  to exceed 12 months.",
3.18.11.1,4,3.18.11,"['3', '3.18', '3.18.11']","TDY restriction does not automatically apply to EFMP requests unless  specifically addressed in approval correspondence from AFPC/DPFXAA (RegAF and  USSF), ARPC/DPA (AGR only), or NGB/A1 (ANG).  A member subject to TDY and  requesting a restriction must obtain a statement from the attending medical or therapy  provider.  The statement must specify the need for the member’s presence and the duration  of the requirement.  This statement must be submitted at the time of the request.  A TDY  restriction request is normally approved only on an initial EFMP request.  When a TDY  restriction is requested and approved, the MPF will place the member in deployment  availability code “44” as directed by AFPC/DPFXAA (RegAF and USSF), ARPC/DPA  (AGR only), or NGB/A1PP (ANG). (T-2)",
3.18.11.2,4,3.18.11,"['3', '3.18', '3.18.11']","If a member’s parent organization is relocated or deactivated before expiration  of the assignment restriction, the member is considered for intra-command reassignment  to another organization on the same base.  If no authorization for their specialty exists on  base, or if the base is being deactivated, reassignment instructions will be provided by  AFPC/DPFXAA (RegAF and USSF), ARPC/DPA (AGR only), or NGB/A1 (ANG).",
3.18.12,3,3.18,"['3', '3.18']","myVector Family Member Travel Screening (FMTS) Application.  All members with  a family member enrolled in the EFMP must complete the myVector FMTS application within  30 calendar days of assignment notification for any eligible PCS. (T-3) The FMTS application  and required documentation will be forwarded by the Special Needs Coordinator or Family  Member Relocation Clearance Coordinator at the member’s current duty location to the  coordinator at the projected assignment location to determine if adequate facilities will be  available for the member’s exceptional family members.  If family member travel is denied,  see paragraph 3.18.6.1.",
3.18.12.1,4,3.18.12,"['3', '3.18', '3.18.12']","As mandated by Public Law (Free Appropriate Public Education – FAPE),  public schools and early intervention services are required to provide appropriate  educational services.  While mandated by FAPE, the DAF requires a member to process  the myVector FMTS application for a CONUS assignment.  A non-recommendation for  family member travel from the gaining location’s Chief of Medical Staff will not result in   40  DAFI36-2110  9 AUGUST 2024  cancellation of the assignment unless requested by the member.  However, if the member  elects to continue with a CONUS assignment, the member may not later request EFMP  reassignment based on a lack of services (unless the request is based on a newly identified  need).",
3.18.12.2,4,3.18.12,"['3', '3.18', '3.18.12']","All requests for reassignment or tour curtailment will normally be disapproved  when it is determined the member contributed to the commission of a myVector FMTS  Application by falsifying or omitting information.  Unless the member’s presence is  deemed essential, their family members should be returned to the CONUS and the member  will be required to complete the remainder of the overseas tour established by the original  tour election.",
3.18.12.3,4,3.18.12,"['3', '3.18', '3.18.12']","If it was determined that a member falsified or omitted information on the  myVector FMTS application, the investigation results will be provided to the losing and  gaining commanders by message for possible disciplinary action against a member who  caused or contributed to the commission of an myVector Family FMTS application  violation.",
3.19,2,3,['3'],Expedited Transfer.,
3.19.1,3,3.19,"['3', '3.19']",Expedited Transfer General Provisions/Guidance.,
3.19.1.1,4,3.19.1,"['3', '3.19', '3.19.1']","The DAF offers expedited transfers to eligible members who file an unrestricted  report for sexual assault, stalking, or other sexual misconduct with the Sexual Assault  Prevention and Response Office or the Family Advocacy Program.  Members may request  an expedited transfer with assistance from the Sexual Assault Prevention and Response  Office, the Victim and Witness Assistance Program in the installation’s Legal Office, and  their commander.  Additional guidance is available in DoDI 6495.02, Volume 1, Sexual  Assault Prevention and Response (SAPR) Program Procedures, and DAFI 90-6001, Sexual  Assault Prevention and Response (SAPR) Program.  An expedited transfer request initiated  on behalf of another will not be accepted.",
3.19.1.2,4,3.19.1,"['3', '3.19', '3.19.1']","The DAF offers expedited transfers to victims of stalking or other sexual  misconduct (i.e., indecent viewing, visual recording, or broadcasting; forcible pandering;  indecent exposure) and will file an unrestricted report with the Victim and Witness  Assistance Program in the installation’s Legal Office, and their commander.  An expedited  transfer request initiated on behalf of another will not be accepted.",
3.19.1.3,4,3.19.1,"['3', '3.19', '3.19.1']","The DAF offers expedited transfers to members whose adult military dependent  makes an allegation of non-domestic abuse sexual assault with the Sexual Assault  Prevention and Response Office if the victim has filed an unrestricted report and the alleged  sexual assault offender is a Service member or if the alleged offender or alleged sexual  assault has a military nexus (e.g., adult military dependent, works for DoD as a civilian  employee (appropriated and non-appropriated fund employees, or is a government  contractor)), or the alleged sexual assault occurred on a DoD installation or facility.   Members may request an expedited transfer with assistance from the Sexual Assault  Prevention and Response Office, the Victim and Witness Assistance Program in the  installation’s Legal Office, and their commander.  Additional guidance is available in DoDI  6495.02, Under Secretary of Defense (USD) (Personnel and Readiness (P&R))  Memorandum, Revisions to the Sexual Assault Prevention and Response Program’s   DAFI36-2110  9 AUGUST 2024  41  Expedited Transfer Policy, and DAFI 90-6001.  An expedited transfer request initiated on  behalf of another will not be accepted.",
3.19.1.4,4,3.19.1,"['3', '3.19', '3.19.1']","The DAF offers expedited transfers to eligible members who are victims of  physical domestic violence committed by the spouse or intimate partner of the victim.   Members may request an expedited transfer with assistance from the installation Family  Advocacy Program Office, the Domestic Abuse Victim Advocate, and their commander.   Additional guidance is available in Section 536 of Public Law 115-232, National Defense  Authorization Act for Fiscal Year 2019; DoDI 6495.02; and DAFI 90-6001.  An expedited  transfer request initiated on behalf of another will not be accepted.",
3.19.1.5,4,3.19.1,"['3', '3.19', '3.19.1']","Waivers and exceptions to policy to these provisions require prior approval of  the assignment authority (RegAF and USSF: AFPC/DPFXAA, ANG: NGB/A1PP, AFR:  ARPC/DPA (AGR), HQ RIO (IR), and AFRC/A1K (Traditional Reserve (TR)). (T-1)",
3.19.1.6,4,3.19.1,"['3', '3.19', '3.19.1']","Members who were sexually assaulted and request transfer following threats of  bodily harm or death, should be encouraged to immediately report the threat to their  commander, law enforcement authorities, Sexual Assault Prevention and Response  Coordinator, Victim Advocate or Victims’ Counsel.  The office receiving a request for  transfer based on threats of bodily harm or death must also immediately report the threat  to the member’s commander and law enforcement authorities. (T-0) Requests to transfer  under these circumstances for RegAF and USSF will be handled in accordance with  paragraph 6.54., Threatened Person Assignment Program.",
3.19.1.7,4,3.19.1,"['3', '3.19', '3.19.1']","If the sexual assault of a civilian dependent occurred within the family or with  an intimate partner, reassignment requests will be considered under the Humanitarian  Assignments program (Attachment 15) when it is essential in establishing or operating an  effective Family Advocacy program according to DAFI 40-301, Family Advocacy  Program, DoDI 6400.01, Family Advocacy Program (FAP), and DoDI 6400.06, DoD  Coordinated Community Response to Domestic Abuse Involving DoD Military and Certain  Affiliated Personnel. (T-0) The Family Advocacy Program covers adult military dependent  sexual assault victims who are assaulted by a spouse or intimate partner and military  dependent sexual assault victims who are 17 years of age and younger.  The installation  Family Advocacy Program and domestic violence intervention and prevention staff shall  direct coordination when a sexual assault occurs within a domestic relationship or involves  child abuse.  Note:  Reassignment requests by RegAF and USSF members who are sexually assaulted by a  family member or intimate partner, will be processed as an expedited transfer pursuant to DAFI  40-301.  Note:  A member’s commander can request assignment or assignment cancellation via  humanitarian deferment if the member needs to continue or obtain treatment for family advocacy  issues or when the member does not desire assignment or assignment cancellation, whichever  applies.  The request must be fully documented and endorsed by the local Family Advocacy  Officer (see paragraph 7.5.9.2 for personnel assigned overseas). (T-3)",
3.19.1.8,4,3.19.1,"['3', '3.19', '3.19.1']",Ordinarily only one expedited transfer may be approved for each qualifying  report.  Subsequent expedited transfer requests will only be considered when the alleged  offender is later assigned to the same duty location as the member who filed the qualifying  report or when the victim is being retaliated against at the new duty station. (T-1)    42  DAFI36-2110  9 AUGUST 2024,
3.19.2,3,3.19,"['3', '3.19']",Expedited transfer for RegAF and USSF members.,
3.19.2.1,4,3.19.2,"['3', '3.19', '3.19.2']",Requests are submitted and processed in accordance with DAFI 90-6001; see  execution guidance on Voluntary Assignments: Humanitarian Reassignment and  Deferment Program/Expedited Transfer Application in myFSS.  Members are required to  meet normal assignment eligibility requirements as defined in this instruction.,
3.19.2.2,4,3.19.2,"['3', '3.19', '3.19.2']","AFPC/DPFXAA will evaluate the member’s location preferences listed on the  wing (or equivalent) /delta commander’s memo and facilitate the reassignment. (T-2) If  preferences cannot be met based on Air Force or Space Force requirements, manpower  utilization, an exceptional family member’s needs, or member’s retainability per  paragraph 6.28.3., AFPC/DPFXAA will coordinate with the wing/delta commander on  viable alternatives to prevent negative impact on the member’s career and an exceptional  family member, if applicable. (T-2) If the installation or host wing (or equivalent)/delta  commander, Sexual Assault Response Coordinator, Victim Witness Assistance Program  or Family Advocacy Program are aware the requester has a Victims' Counsel, they will  notify the Victims' Counsel of the Expedited Transfer decision and duty assignment. (T-2)  If location resolution cannot be obtained, the discussion will be resolved between Air  Force, Sexual Assault Prevention and Response (AF/CVS) and AFPC/CC. (T-1) (RegAF  only) For colonels (including selectees), and CMSgts (including CMSgt selects), requests  will be submitted through AFPC to AF/A1LO or AF/A1LE for final determination on  reassignment location.  (USSF only) For colonels (including selectees), CMSgts (including  CMSgt selects), and SMSgts (including SMSgt selects), requests will be submitted through  AFPC to SF/S1L for final determination on reassignment location.",
3.19.2.3,4,3.19.2,"['3', '3.19', '3.19.2']","Reassignment from CONUS to an overseas location, or between/within overseas  theaters, should not be considered unless it has been documented that family members or  other identified support network reside in the overseas area and the requester has expressed  a preference for transfer to the overseas location.  Family members can be defined as  mother, father, siblings, and in loco parentis.  Requests to relocate to locations where  family members other than those defined reside will be considered on a case-by-case basis.   If a request for assignment is to a dependent-restricted area and the member’s foreign-born  spouse will be traveling to the native country, such information must be included in the  expedited transfer request.  If reassignment can be facilitated, a request for a designated  location move to the native country must be processed per DAFI 36-3012, Military  Entitlements. (T-3)",
3.19.2.4,4,3.19.2,"['3', '3.19', '3.19.2']","When a member is married to another member and desires join spouse  consideration, a join spouse intent letter must accompany the member's application in order  for the military spouse to also be considered for assignment action.",
3.19.2.5,4,3.19.2,"['3', '3.19', '3.19.2']","A member desiring expedited transfer who has a spouse, or children enrolled in  the EFMP must complete the myVector FMTS application prior to finalization of the  assignment action.  An expedited transfer reassignment cannot be approved unless the  projected assignment location can meet the needs of the exceptional family member in  accordance with paragraph 3.18. (T-3)",
3.19.2.6,4,3.19.2,"['3', '3.19', '3.19.2']","A member will generally only be delayed from departing PCS when the member  is required to remain for completion of a criminal or disciplinary investigation or action in  which the member is the subject, including investigation and trial by U.S. military or civil   DAFI36-2110  9 AUGUST 2024  43  authorities or administrative actions under the Uniform Code of Military Justice or DAFI  36-3211.  If a member who has been approved for an expedited transfer has also undergone  past disciplinary action, but the commander does not deem a separation appropriate, the  losing unit commander must formally notify the gaining unit commander, in writing, of  any incomplete administrative or disciplinary actions and provide a comprehensive  analysis of the member’s duty related or personal problems related to the administrative or  disciplinary action. (T-3)",
3.19.2.7,4,3.19.2,"['3', '3.19', '3.19.2']","If a member’s parent organization is relocated or deactivated after a member is  reassigned there due to an expedited transfer request, the member should be considered for  intra-command reassignment to another organization on the same base.  If no authorization  for their specialty exists on base, or if the base is being deactivated, reassignment  instructions will be provided by AFPC/DPFXAA.",
3.19.2.8,4,3.19.2,"['3', '3.19', '3.19.2']","Retraining or crossflow actions will be considered as a last resort.  The primary  consideration is timely reassignment actions with minimal disruption to a member’s career.   All retraining actions will be coordinated through the AFPC Transitions, Retention and  Skills Management Branch (AFPC/DP3ST).  As a rule, reassignment into a special duty  position is not considered since the selection process is under a nominative process and  requires additional training.  Additionally, when a member requires reclassification prior  to expedited transfer assignment, AFPC/DPFXAA will process the reassignment action  once all reclassification actions are complete. (T-3)",
3.19.2.9,4,3.19.2,"['3', '3.19', '3.19.2']","If a member submits a request for reassignment and the circumstances change  prior to a final decision or the member’s departure on assignment, the member must  immediately inform either the MPF or AFPC/DPFXAA.  A message reply will be provided  with final disposition instructions.  Once a member has departed on an expedited transfer  reassignment, the request can no longer be withdrawn. (T-3)",
3.19.3,3,3.19,"['3', '3.19']",Expedited transfer for AFR and ANG.,
3.19.3.1,4,3.19.3,"['3', '3.19', '3.19.3']","The victim will forward the vice wing commander’s (or equivalent) memo (the  RegAF vice wing commander for IR), along with the expedited transfer application and all  documents related to the expedited transfer (to include the EFMP and other applicable PCS  documentation) to their unit commander or RIO Det/CC. (T-3) Upon receipt of an  expedited transfer request from the victim whose qualifying event occurred in the line of  duty, the member’s current unit commander will assist in fulfilling the member’s  reassignment request. (T-3) Reassignments within the ANG are subject to provisions of  Chief National Guard Manual CNGBM 1300.04, National Guard Expedited Transfer  Program for Members with Unrestricted Reports of Sexual Assault.  ARC members  assigned on temporary active-duty orders away from home station who desire expedited  transfer from their temporary duty location will submit their request to the commander of  the unit to which they are providing support. (T-3)",
3.19.3.2,4,3.19.3,"['3', '3.19', '3.19.3']","Depending on the type of reassignment requested, in addition to the losing unit  commander, other parties involved in the reassignment process may include gaining  commander, recruiter, Wing AGR Program Manager, RIO Det CCs, AFPC, ARPC, Host  Aviation Resource Management, Functional Area Manager (FAM)/Career Functional  Manager (CFM), Senior Officer and Special Programs Support Branch, TAG etc.  For  Guard general officers or colonels assigned to general officer positions, expedited transfer   44  DAFI36-2110  9 AUGUST 2024  reassignment location will be determined by NGB-SL and for Reserve general officers or  colonels assigned to general officer positions, expedited transfer reassignment location will  be determined by AF/REG.",
3.19.3.3,4,3.19.3,"['3', '3.19', '3.19.3']","Unit Commanders, or RIO Det/CC, will assist members electing reassignment  with the following options:",
3.19.3.3.1,5,3.19.3.3,"['3', '3.19', '3.19.3', '3.19.3.3']",Reassignment of the member by USAF to another location if the qualifying  event occurred while the victim was performing Active Duty Other than for Training.  (T-3) The member may also be returned to the home unit of assignment with the  member’s consent.,
3.19.3.3.2,5,3.19.3.3,"['3', '3.19', '3.19.3', '3.19.3.3']","Rescheduling or Excusal from Training.  A unit commander may approve  rescheduling or excusal from training, allow training with a different unit in the home  duty location, or consider allowing temporarily or permanently separate training on  different weekends or times (where possible) from the alleged offender if the wing is  capable to support and provide training with proper staffing, i.e., fulltime AGR or  technician assigned within the work center.",
3.19.3.3.3,5,3.19.3.3,"['3', '3.19', '3.19.3', '3.19.3.3']",Reassignment within the member’s unit.  Unit Commander may approve  reassignment action.  Assignment outside of an awarded AFSC will require entry into  retraining.  Excess or overgrade assignment is authorized for up to 24 months. (T-3),
3.19.3.3.4,5,3.19.3.3,"['3', '3.19', '3.19.3', '3.19.3.3']",Reassignment within assigned wing. Reassignment of a member between  units serviced by the same FSS must have the concurrence of both gaining and losing  unit commanders. (T-3) Member’s Commander contacts the Wing Recruiting office  for assistance in locating available positions.  Gaining commander initiates  reassignment documentation in accordance with FSS requirements. Excess or  overgrade assignment is authorized for up to 24 months. (T-3),
3.19.3.3.5,5,3.19.3.3,"['3', '3.19', '3.19.3', '3.19.3.3']",Reassignment within Current State (ANG only).  Reassignment of a  member between units located within the same State must have the concurrence of both  gaining and losing unit commanders.  Unit Commander will contact the Wing Recruiter  for assistance. (T-3) Wing Recruiter will locate an available position and coordinate  reassignment actions with the gaining Wing’s Recruiter. (T-3),
3.19.3.3.6,5,3.19.3.3,"['3', '3.19', '3.19.3', '3.19.3.3']","Reassignment to Another State (ANG only).  Unit Commander will contact  the Wing Recruiting office for assistance. (T-3) Wing Recruiter will locate an available  position and assist in coordinating reassignment actions between the losing and gaining  organizations. (T-3) For ANG, State-to-State transfers are subject to the provisions of  DAFI 36-2606, Reenlistment and Extension of Enlistment in the United States Air  Force.",
3.19.3.3.7,5,3.19.3.3,"['3', '3.19', '3.19.3', '3.19.3.3']",Reassignment for military technicians and AGRs must be assigned as  position incumbents to unit manning document (UMD) positions compatible with their  full-time positions. (T-3),
3.19.3.3.7.1,6,3.19.3.3.7,"['3', '3.19', '3.19.3', '3.19.3.3', '3.19.3.3.7']",Reassignment for AGR must also be coordinated with the Wing AGR  Program Manager. (T-3),
3.19.3.3.7.2,6,3.19.3.3.7,"['3', '3.19', '3.19.3', '3.19.3.3', '3.19.3.3.7']",Reassignment of Military Technicians should not be attempted  without guidance from the member’s Wing Civilian Human Resources Office.    DAFI36-2110  9 AUGUST 2024  45  Military reassignment action may impact the member’s civil service status to  include involuntary termination.,
3.19.3.3.8,5,3.19.3.3,"['3', '3.19', '3.19.3', '3.19.3.3']",NGB Statutory Tour Reassignment.  All members in the ANG assigned to  the statutory program are subject to the provisions of ANGI 36-6 regardless of duty  location.  Contact Human Resources (NGB/HR) for assistance with reassignment or  voluntary tour curtailment actions.,
3.19.4,3,3.19,"['3', '3.19']",Expedited Transfer for an Alleged Offender.,
3.19.4.1,4,3.19.4,"['3', '3.19', '3.19.4']","To enhance protection for the sexual assault victim, potential reassignment of the  alleged offender shall be considered by the vice wing/delta commander (or equivalent),  balancing interests of the sexual assault victim and the alleged offender. (T-2) The vice  wing/delta commander (or equivalent) is required to consult with the servicing Staff Judge  Advocate and Military Criminal Investigative Organization in making this decision when  there is an open investigation. (T-2) Reassignment options include a temporary or PCA or  PCS to a location determined by DAF needs and if applicable, the EFMP requirements of  the alleged offender’s spouse or children.",
3.19.4.2,4,3.19.4,"['3', '3.19', '3.19.4']","The Vice Wing/Delta Commander (or equivalent) will notify an alleged offender  who has been selected for expedited transfer. (T-2) The alleged offender will then have an  opportunity to submit through their unit commander their location preferences for inclusion  in the Vice Wing/Delta Commander’s (or equivalent) memorandum. (T-3) The alleged  offender will also have the opportunity to submit documentation of family member’s  enrollment in the EFMP, as well as any other circumstances relating to the reassignment  that the alleged offender desires to bring to the Vice Wing/Delta Commander’s (or  equivalent) consideration. (T-3) The alleged offender shall be notified in writing, that they  have the right to consult with an Area Defense Counsel prior to submitting these matters.  (T-3)",
3.19.4.3,4,3.19.4,"['3', '3.19', '3.19.4']","For RegAF and USSF, the alleged offender’s unit commander will contact  AFPC/DPFXAA (afpc.dp3xaa.workflow@us.af.mil) for assistance with the required  documentation (refer to myFSS messaged titled, Assignments: Expedited Transfer /  Alleged Offenders).  For ARC, the appropriate parties involved in the reassignment process  will provide processing guidance.",
3.19.4.3.1,5,3.19.4.3,"['3', '3.19', '3.19.4', '3.19.4.3']",(RegAF and USSF only)  AFPC/DPFXAA will evaluate the member’s  location preferences listed on the Vice Wing/Delta Commander’s (or equivalent) memo  and facilitate the reassignment. (T-2),
3.19.4.3.1.1,6,3.19.4.3.1,"['3', '3.19', '3.19.4', '3.19.4.3', '3.19.4.3.1']","If preferences cannot be met based upon Air Force or Space Force  requirements, manpower utilization, or an exceptional family member’s need,  AFPC will coordinate with the Vice Wing/Delta Commander (or equivalent) on  viable alternatives to prevent negative impact on the member’s career and  exceptional family member if applicable. (T-2)",
3.19.4.3.1.2,6,3.19.4.3.1,"['3', '3.19', '3.19.4', '3.19.4.3', '3.19.4.3.1']","If the Vice Wing/Delta Commander (or equivalent) is aware that the  requester has an Area Defense Counsel, they will also notify the Area Defense  Counsel.  If location resolution cannot be obtained, AFPC/DPFXAA is the final  authority in determining location of reassignment. (T-3)    46  DAFI36-2110  9 AUGUST 2024",
3.19.4.3.1.3,6,3.19.4.3.1,"['3', '3.19', '3.19.4', '3.19.4.3', '3.19.4.3.1']","When a member is married to another member and desires join spouse  consideration, a join spouse intent letter must accompany the member's application  in order for the military spouse to also be considered for assignment action. (T-2)",
3.19.4.3.1.4,6,3.19.4.3.1,"['3', '3.19', '3.19.4', '3.19.4.3', '3.19.4.3.1']",Time on station will not be a factor when reassigning members who  have been acquitted by court martial of committing a sexual assault.,
3.19.4.3.2,5,3.19.4.3,"['3', '3.19', '3.19.4', '3.19.4.3']",(ARC only)  Parties involved in the reassignment process will execute  reassignment. (T-3),
3.19.4.4,4,3.19.4,"['3', '3.19', '3.19.4']",An alleged offender receiving an expedited transfer and has a spouse or  child(ren) enrolled in the EFMP must complete the myVector FMTS application prior to  finalization of the assignment action.  An expedited transfer reassignment cannot be  approved unless the projected assignment location can meet the needs of the exceptional  family member in accordance with paragraph 3.18. (T-3),
3.19.4.5,4,3.19.4,"['3', '3.19', '3.19.4']","Reassignment from a CONUS to overseas location, or within/between overseas  theaters, should not be considered unless it has been documented that family members or  other identified support network reside in the overseas area and the requester has expressed  a preference for transfer to the overseas location.  Family members can be defined as  mother, father, siblings, and in loco parentis.  Requests to relocate to locations where  family members other than those defined reside will be considered on a case-by-case basis.   If a request for assignment is to a dependent-restricted area and the member’s foreign-born  spouse will be traveling to the native country, such information must be included in the  expedited transfer request.  If reassignment can be facilitated, a request for a designated  location move to the native country must be processed per DAFI 36-3012. (T-3)",
3.19.4.6,4,3.19.4,"['3', '3.19', '3.19.4']","If a member’s parent organization is relocated or deactivated after a member is  reassigned there due to an expedited transfer request, the member should be considered for  intra-command reassignment to another organization on the same base.  If no authorization  for their specialty exists on base, or if the base is being deactivated, reassignment  instructions will be provided by AFPC/DPFXAA for RegAF and USSF.",
