Paragraph Number,Matches,Section Number,Section Title,Text
388,1,3.18.10,"3.18.10. Withdrawing a Request. If a member wants to withdraw their request before a final  decision or departure on reassignment, the request must be submitted in writing to either the  MPF or AFPC/DPFXAA (RegAF and USSF), ARPC/DPA (AGR only), or NGB/A1 (ANG)  immediately. Once a member has departed on an EFMP reassignment, the request can no  longer be withdrawn. (T-2) A request to withdraw an approved EFMP reassignment that was  provided based on either a lack of required medical resources within the current locale or on  environmental factors that were having a life-threatening effect on a family member will not  be favorably considered unless the situation has significantly changed since initial approval.  For this type of withdrawal request, input from the senior non-commissioned officer/Chief of  Medical Staff is required along with the member’s request.","3.18.10. Withdrawing a Request. If a member wants to withdraw their request before a final  decision or departure on reassignment, the request must be submitted in writing to either the  MPF or AFPC/DPFXAA (RegAF and USSF), ARPC/DPA (AGR only), or NGB/A1 (ANG)  immediately. Once a member has departed on an EFMP reassignment, the request can no  longer be withdrawn. (T-2) A request to withdraw an approved EFMP reassignment that was  provided based on either a lack of required medical resources within the current locale or on  environmental factors that were having a life-threatening effect on a family member will not  be favorably considered unless the situation has significantly changed since initial approval.  For this type of withdrawal request, input from the senior non-commissioned officer/Chief of  Medical Staff is required along with the member’s request."
390,3,3.18.11.1,"3.18.11.1. TDY restriction does not automatically apply to EFMP requests unless  specifically addressed in approval correspondence from AFPC/DPFXAA (RegAF and  USSF), ARPC/DPA (AGR only), or NGB/A1 (ANG). A member subject to TDY and  requesting a restriction must obtain a statement from the attending medical or therapy  provider. The statement must specify the need for the member’s presence and the duration  of the requirement. This statement must be submitted at the time of the request. A TDY  restriction request is normally approved only on an initial EFMP request. When a TDY  restriction is requested and approved, the MPF will place the member in deployment  availability code “44” as directed by AFPC/DPFXAA (RegAF and USSF), ARPC/DPA  (AGR only), or NGB/A1PP (ANG). (T-2)","3.18.11.1. TDY restriction does not automatically apply to EFMP requests unless  specifically addressed in approval correspondence from AFPC/DPFXAA (RegAF and  USSF), ARPC/DPA (AGR only), or NGB/A1 (ANG). A member subject to TDY and  requesting a restriction must obtain a statement from the attending medical or therapy  provider. The statement must specify the need for the member’s presence and the duration  of the requirement. This statement must be submitted at the time of the request. A TDY  restriction request is normally approved only on an initial EFMP request. When a TDY  restriction is requested and approved, the MPF will place the member in deployment  availability code “44” as directed by AFPC/DPFXAA (RegAF and USSF), ARPC/DPA  (AGR only), or NGB/A1PP (ANG). (T-2)"
392,1,3.18.12,"3.18.12. myVector Family Member Travel Screening (FMTS) Application. All members with  a family member enrolled in the EFMP must complete the myVector FMTS application within  30 calendar days of assignment notification for any eligible PCS. (T-3) The FMTS application  and required documentation will be forwarded by the Special Needs Coordinator or Family  Member Relocation Clearance Coordinator at the member’s current duty location to the  coordinator at the projected assignment location to determine if adequate facilities will be  available for the member’s exceptional family members. If family member travel is denied,  see paragraph 3.18.6.1.","3.18.12. myVector Family Member Travel Screening (FMTS) Application. All members with  a family member enrolled in the EFMP must complete the myVector FMTS application within  30 calendar days of assignment notification for any eligible PCS. (T-3) The FMTS application  and required documentation will be forwarded by the Special Needs Coordinator or Family  Member Relocation Clearance Coordinator at the member’s current duty location to the  coordinator at the projected assignment location to determine if adequate facilities will be  available for the member’s exceptional family members. If family member travel is denied,  see paragraph 3.18.6.1."
407,1,3.19.1.6,"3.19.1.6. Members who were sexually assaulted and request transfer following threats of  bodily harm or death, should be encouraged to immediately report the threat to their  commander, law enforcement authorities, Sexual Assault Prevention and Response  Coordinator, Victim Advocate or Victims’ Counsel. The office receiving a request for  transfer based on threats of bodily harm or death must also immediately report the threat  to the member’s commander and law enforcement authorities. (T-0) Requests to transfer  under these circumstances for RegAF and USSF will be handled in accordance with  paragraph 6.54., Threatened Person Assignment Program.","3.19.1.6. Members who were sexually assaulted and request transfer following threats of  bodily harm or death, should be encouraged to immediately report the threat to their  commander, law enforcement authorities, Sexual Assault Prevention and Response  Coordinator, Victim Advocate or Victims’ Counsel. The office receiving a request for  transfer based on threats of bodily harm or death must also immediately report the threat  to the member’s commander and law enforcement authorities. (T-0) Requests to transfer  under these circumstances for RegAF and USSF will be handled in accordance with  paragraph 6.54., Threatened Person Assignment Program."
409,1,3.19.1.7,"3.19.1.7. If the sexual assault of a civilian dependent occurred within the family or with  an intimate partner, reassignment requests will be considered under the Humanitarian  Assignments program (Attachment 15) when it is essential in establishing or operating an  effective Family Advocacy program according to DAFI 40-301, Family Advocacy  Program, DoDI 6400.01, Family Advocacy Program (FAP), and DoDI 6400.06, DoD  Coordinated Community Response to Domestic Abuse Involving DoD Military and Certain  Affiliated Personnel. (T-0) The Family Advocacy Program covers adult military dependent  sexual assault victims who are assaulted by a spouse or intimate partner and military  dependent sexual assault victims who are 17 years of age and younger. The installation  Family Advocacy Program and domestic violence intervention and prevention staff shall  direct coordination when a sexual assault occurs within a domestic relationship or involves  child abuse.","Note: Reassignment requests by RegAF and USSF members who are sexually assaulted by a  family member or intimate partner, will be processed as an expedited transfer pursuant to DAFI  40-301. Note: A member’s commander can request assignment or assignment cancellation via  humanitarian deferment if the member needs to continue or obtain treatment for family advocacy  issues or when the member does not desire assignment or assignment cancellation, whichever  applies. The request must be fully documented and endorsed by the local Family Advocacy  Officer (see paragraph 7.5.9.2 for personnel assigned overseas). (T-3)"
415,2,3.19.2.3,"3.19.2.3. Reassignment from CONUS to an overseas location, or between/within overseas  theaters, should not be considered unless it has been documented that family members or  other identified support network reside in the overseas area and the requester has expressed a preference for transfer to the overseas location. Family members can be defined as  mother, father, siblings, and in loco parentis. Requests to relocate to locations where  family members other than those defined reside will be considered on a case-by-case basis.  If a request for assignment is to a dependent-restricted area and the member’s foreign-born  spouse will be traveling to the native country, such information must be included in the  expedited transfer request. If reassignment can be facilitated, a request for a designated  location move to the native country must be processed per DAFI 36-3012, Military  Entitlements. (T-3)","3.19.2.3. Reassignment from CONUS to an overseas location, or between/within overseas  theaters, should not be considered unless it has been documented that family members or  other identified support network reside in the overseas area and the requester has expressed a preference for transfer to the overseas location. Family members can be defined as  mother, father, siblings, and in loco parentis. Requests to relocate to locations where  family members other than those defined reside will be considered on a case-by-case basis.  If a request for assignment is to a dependent-restricted area and the member’s foreign-born  spouse will be traveling to the native country, such information must be included in the  expedited transfer request. If reassignment can be facilitated, a request for a designated  location move to the native country must be processed per DAFI 36-3012, Military  Entitlements. (T-3)"
416,1,3.19.2.4,"3.19.2.4. When a member is married to another member and desires join spouse  consideration, a join spouse intent letter must accompany the member's application in order  for the military spouse to also be considered for assignment action.","3.19.2.4. When a member is married to another member and desires join spouse  consideration, a join spouse intent letter must accompany the member's application in order  for the military spouse to also be considered for assignment action."
417,1,3.19.2.5,"3.19.2.5. A member desiring expedited transfer who has a spouse, or children enrolled in  the EFMP must complete the myVector FMTS application prior to finalization of the  assignment action. An expedited transfer reassignment cannot be approved unless the  projected assignment location can meet the needs of the exceptional family member in  accordance with paragraph 3.18. (T-3)","3.19.2.5. A member desiring expedited transfer who has a spouse, or children enrolled in  the EFMP must complete the myVector FMTS application prior to finalization of the  assignment action. An expedited transfer reassignment cannot be approved unless the  projected assignment location can meet the needs of the exceptional family member in  accordance with paragraph 3.18. (T-3)"
420,1,3.19.2.6,"3.19.2.6. A member will generally only be delayed from departing PCS when the member  is required to remain for completion of a criminal or disciplinary investigation or action in  which the member is the subject, including investigation and trial by U.S. military or civil","authorities or administrative actions under the Uniform Code of Military Justice or DAFI  36-3211. If a member who has been approved for an expedited transfer has also undergone  past disciplinary action, but the commander does not deem a separation appropriate, the  losing unit commander must formally notify the gaining unit commander, in writing, of  any incomplete administrative or disciplinary actions and provide a comprehensive  analysis of the member’s duty related or personal problems related to the administrative or  disciplinary action. (T-3)"
423,1,3.19.2.9,"3.19.2.9. If a member submits a request for reassignment and the circumstances change  prior to a final decision or the member’s departure on assignment, the member must  immediately inform either the MPF or AFPC/DPFXAA. A message reply will be provided  with final disposition instructions. Once a member has departed on an expedited transfer  reassignment, the request can no longer be withdrawn. (T-3)","3.19.2.9. If a member submits a request for reassignment and the circumstances change  prior to a final decision or the member’s departure on assignment, the member must  immediately inform either the MPF or AFPC/DPFXAA. A message reply will be provided  with final disposition instructions. Once a member has departed on an expedited transfer  reassignment, the request can no longer be withdrawn. (T-3)"
433,1,3.19.3.3.4,3.19.3.3.4. Reassignment within assigned wing. Reassignment of a member between  units serviced by the same FSS must have the concurrence of both gaining and losing  unit commanders. (T-3) Member’s Commander contacts the Wing Recruiting office  for assistance in locating available positions. Gaining commander initiates  reassignment documentation in accordance with FSS requirements. Excess or  overgrade assignment is authorized for up to 24 months. (T-3),3.19.3.3.4. Reassignment within assigned wing. Reassignment of a member between  units serviced by the same FSS must have the concurrence of both gaining and losing  unit commanders. (T-3) Member’s Commander contacts the Wing Recruiting office  for assistance in locating available positions. Gaining commander initiates  reassignment documentation in accordance with FSS requirements. Excess or  overgrade assignment is authorized for up to 24 months. (T-3)
434,1,3.19.3.3.5,3.19.3.3.5. Reassignment within Current State (ANG only). Reassignment of a  member between units located within the same State must have the concurrence of both  gaining and losing unit commanders. Unit Commander will contact the Wing Recruiter  for assistance. (T-3) Wing Recruiter will locate an available position and coordinate  reassignment actions with the gaining Wing’s Recruiter. (T-3),3.19.3.3.5. Reassignment within Current State (ANG only). Reassignment of a  member between units located within the same State must have the concurrence of both  gaining and losing unit commanders. Unit Commander will contact the Wing Recruiter  for assistance. (T-3) Wing Recruiter will locate an available position and coordinate  reassignment actions with the gaining Wing’s Recruiter. (T-3)
436,1,3.19.3.3.7,3.19.3.3.7. Reassignment for military technicians and AGRs must be assigned as  position incumbents to unit manning document (UMD) positions compatible with their  full-time positions. (T-3),3.19.3.3.7. Reassignment for military technicians and AGRs must be assigned as  position incumbents to unit manning document (UMD) positions compatible with their  full-time positions. (T-3)
437,1,3.19.3.3.7.1,3.19.3.3.7.1. Reassignment for AGR must also be coordinated with the Wing AGR  Program Manager. (T-3),3.19.3.3.7.1. Reassignment for AGR must also be coordinated with the Wing AGR  Program Manager. (T-3)
450,1,3.19.4.3.1.3,"3.19.4.3.1.3. When a member is married to another member and desires join spouse  consideration, a join spouse intent letter must accompany the member's application  in order for the military spouse to also be considered for assignment action. (T-2)","3.19.4.3.1.3. When a member is married to another member and desires join spouse  consideration, a join spouse intent letter must accompany the member's application  in order for the military spouse to also be considered for assignment action. (T-2)"
453,1,3.19.4.4,3.19.4.4. An alleged offender receiving an expedited transfer and has a spouse or  child(ren) enrolled in the EFMP must complete the myVector FMTS application prior to  finalization of the assignment action. An expedited transfer reassignment cannot be  approved unless the projected assignment location can meet the needs of the exceptional  family member in accordance with paragraph 3.18. (T-3),3.19.4.4. An alleged offender receiving an expedited transfer and has a spouse or  child(ren) enrolled in the EFMP must complete the myVector FMTS application prior to  finalization of the assignment action. An expedited transfer reassignment cannot be  approved unless the projected assignment location can meet the needs of the exceptional  family member in accordance with paragraph 3.18. (T-3)
454,2,3.19.4.5,"3.19.4.5. Reassignment from a CONUS to overseas location, or within/between overseas  theaters, should not be considered unless it has been documented that family members or  other identified support network reside in the overseas area and the requester has expressed  a preference for transfer to the overseas location. Family members can be defined as  mother, father, siblings, and in loco parentis. Requests to relocate to locations where  family members other than those defined reside will be considered on a case-by-case basis.  If a request for assignment is to a dependent-restricted area and the member’s foreign-born  spouse will be traveling to the native country, such information must be included in the  expedited transfer request. If reassignment can be facilitated, a request for a designated  location move to the native country must be processed per DAFI 36-3012. (T-3)","3.19.4.5. Reassignment from a CONUS to overseas location, or within/between overseas  theaters, should not be considered unless it has been documented that family members or  other identified support network reside in the overseas area and the requester has expressed  a preference for transfer to the overseas location. Family members can be defined as  mother, father, siblings, and in loco parentis. Requests to relocate to locations where  family members other than those defined reside will be considered on a case-by-case basis.  If a request for assignment is to a dependent-restricted area and the member’s foreign-born  spouse will be traveling to the native country, such information must be included in the  expedited transfer request. If reassignment can be facilitated, a request for a designated  location move to the native country must be processed per DAFI 36-3012. (T-3)"
456,1,3.19.4.7,"3.19.4.7. AAC, ALC, and medical limitation codes must also be addressed prior to  reassignment. (T-3) The goal for transferring the alleged offender is a timely reassignment  with minimal disruption to a member’s career and family.","3.19.4.7. AAC, ALC, and medical limitation codes must also be addressed prior to  reassignment. (T-3) The goal for transferring the alleged offender is a timely reassignment  with minimal disruption to a member’s career and family."
556,2,3.20,"3.20. Diverse Slates for Key Developmental Assignments and Non-Statutory Boards. The  DAF must work toward providing Key Developmental Assignments and Non-Statutory selection  boards with diverse pools of qualified candidates. Selection and hiring officials must promote  greater opportunity and consideration among qualified candidates, who offer diverse perspectives  and represent diverse backgrounds and experience.","3.20. Diverse Slates for Key Developmental Assignments and Non-Statutory Boards. The  DAF must work toward providing Key Developmental Assignments and Non-Statutory selection  boards with diverse pools of qualified candidates. Selection and hiring officials must promote  greater opportunity and consideration among qualified candidates, who offer diverse perspectives  and represent diverse backgrounds and experience."
